"","VE_susc","Label_testingDiff","t","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR_timeDep.2.5.","VE_symptRR_timeDep.50.","VE_symptRR_timeDep.97.5.","VacStatus_coef_timeDep_VeRR.2.5.","VacStatus_coef_timeDep_VeRR.50.","VacStatus_coef_timeDep_VeRR.97.5.","Stats_sampleSizeCovid_unvac.2.5.","Stats_sampleSizeCovid_unvac.50.","Stats_sampleSizeCovid_unvac.97.5.","Stats_sampleSizeCovid_vac.2.5.","Stats_sampleSizeCovid_vac.50.","Stats_sampleSizeCovid_vac.97.5."
"46",0.55,"equal",75,0.532579284575,0.5485894275,0.57115955485,0.541787702925,0.561058427,0.583267433075,-0.87531061025,-0.82338899,-0.780423118275,1341.55,2401,3576.45,1758.725,3185.5,4854.7
"47",0.55,"equal",76,0.53369694575,0.5485111755,0.56838581425,0.543405676975,0.562235363,0.58323742035,-0.875240082225,-0.8260738945,-0.78396008865,1453.375,2559.5,3780.55,1901.075,3423,5169.175
"48",0.55,"equal",77,0.53351063975,0.548658468,0.56668540805,0.54275721945,0.563705147,0.5831587447,-0.87504999105,-0.8294372335,-0.782541922175,1571.4,2739,3978.25,2064.575,3665,5431.325
"49",0.55,"equal",78,0.536679785575,0.547966915,0.566804317275,0.5472171654,0.5644118025,0.5837496348,-0.876468362325,-0.831057983,-0.792342661825,1708.4,2927,4189.725,2247.85,3917,5708.1
"50",0.55,"equal",79,0.53327364045,0.548238561,0.566866341425,0.54752845275,0.565950847,0.584371542875,-0.87796563045,-0.834597496,-0.793032147275,1853.225,3114,4402.85,2425.025,4164,5980.75
"51",0.55,"equal",80,0.53631972975,0.548440871,0.5656822671,0.5497748962,0.5666607435,0.583595400325,-0.876098304075,-0.8362343565,-0.7980104747,2009.925,3321,4626.75,2621.9,4427,6260.075
"52",0.55,"equal",81,0.535048297425,0.5491645925,0.564220265475,0.549518287575,0.567772091,0.58353078605,-0.875943987725,-0.838802359,-0.7974379988,2163.225,3498.5,4832.65,2833.2,4688.5,6517.575
"53",0.55,"equal",82,0.535152979375,0.549055905,0.564559218825,0.5498449608,0.568218646,0.5854259459,-0.880503921625,-0.8398360175,-0.798163644775,2333.525,3709,5027.925,3027.5,4965,6767.4
"54",0.55,"equal",83,0.5360918447,0.5487316755,0.563627223325,0.552415835025,0.5699766325,0.586628538575,-0.883408825725,-0.8439157345,-0.803890887525,2506.5,3921.5,5230.325,3257.225,5244.5,7033.575
"55",0.55,"equal",84,0.5373677631,0.549771574,0.562923906625,0.55475007455,0.57120377,0.587154633675,-0.88468255795,-0.846773508,-0.80912064805,2676.5,4121.5,5409.825,3491.575,5524,7280.625
"56",0.55,"equal",85,0.53814735355,0.5499481655,0.56347781935,0.557707162625,0.572993209,0.58849714715,-0.887939601575,-0.850955369,-0.81578316425,2857.3,4339,5595.325,3742.3,5800.5,7521.175
"57",0.55,"equal",86,0.53849405415,0.54986966,0.564178063,0.55831563065,0.5732485595,0.5893185407,-0.889943786625,-0.8515535465,-0.817160868325,3038.325,4527,5773.25,3979.925,6098,7761.975
"58",0.55,"equal",87,0.53822904555,0.55052842,0.562871470075,0.55962055285,0.5748305025,0.591190685325,-0.894507253625,-0.855267378,-0.82011943935,3224.15,4734.5,5940.95,4229.6,6352,7993.45
"59",0.55,"equal",88,0.5387483793,0.550509241,0.562822041075,0.561767799025,0.5766597425,0.5921618256,-0.896885616325,-0.8595792095,-0.825006372825,3424.325,4937.5,6099.925,4476.75,6609.5,8211.25
"60",0.55,"equal",89,0.539888884075,0.5511836555,0.562878113125,0.56245107575,0.5776323845,0.593018989125,-0.898988977875,-0.8618792325,-0.826567816425,3609.35,5125,6254.2,4731.7,6855,8401.4
"61",0.55,"equal",90,0.5402918442,0.550309872,0.5622296694,0.56355460735,0.578288267,0.59352998465,-0.900245449625,-0.863433298,-0.82909290545,3812.725,5299.5,6400.75,5013.6,7116.5,8606.7
"62",0.55,"equal",91,0.540552539475,0.550754788,0.5620001811,0.56482165775,0.579516152,0.59353870085,-0.900266589525,-0.866349328,-0.831999702025,4012.025,5475,6528.75,5266.9,7341.5,8782.025
"63",0.55,"equal",92,0.539578083975,0.5507606675,0.561770479975,0.5645262356,0.5803823845,0.5941714924,-0.901824725225,-0.868411427,-0.83132078415,4212.2,5649.5,6651.925,5543.4,7558,8951.375
"64",0.55,"equal",93,0.5395924848,0.5506204335,0.562059140575,0.56605831105,0.5812563385,0.59487458925,-0.903559313425,-0.8704963345,-0.83484554685,4430.35,5814,6767.65,5811.85,7802.5,9108.975
"65",0.55,"equal",94,0.539459305775,0.5499845225,0.56210382075,0.567075893,0.581756753,0.595490133725,-0.9050791605,-0.871692092,-0.83719325395,4623,5952.5,6886.4,6094.95,8019.5,9254.575
"66",0.55,"equal",95,0.539103399375,0.550378511,0.5608842328,0.5691759281,0.582562528,0.595564411775,-0.9052628441,-0.873620519,-0.8420558394,4817.5,6105.5,6972.925,6367.375,8248,9390.475
"67",0.55,"equal",96,0.539457133625,0.5499665195,0.560778075975,0.569853387375,0.583601172,0.5957611996,-0.905749523225,-0.8761117615,-0.843629275375,5019.025,6259,7062.475,6639.625,8428.5,9518.05
"68",0.55,"equal",97,0.5397334141,0.5495916635,0.560537762975,0.570728526675,0.5842056565,0.5962958505,-0.907072976525,-0.8775645685,-0.8456663528,5197,6381.5,7142.3,6894.85,8632,9628.925
"69",0.55,"equal",98,0.5394534993,0.550145103,0.56128331755,0.57150253945,0.585116397,0.5968964961,-0.90856265295,-0.879757288,-0.84747068755,5397.225,6518.5,7224.15,7153.25,8803.5,9732.35
"70",0.55,"equal",99,0.539176355925,0.550201882,0.56077202955,0.57150776695,0.5863967495,0.597493128025,-0.91004321535,-0.8828481255,-0.84748325915,5579.8,6646.5,7306.475,7395.25,8970.5,9835.5
"71",0.55,"equal",100,0.540677267275,0.5505347385,0.56059578925,0.57280254365,0.586492822,0.5988606552,-0.913446693975,-0.883080414,-0.850510453325,5741.625,6763,7376.075,7626.4,9120.5,9922.275
"72",0.55,"equal",101,0.541023875825,0.550136135,0.561071385525,0.5745936341,0.5872232155,0.598447692625,-0.91241754805,-0.884848307,-0.8547119655,5912.825,6869,7433.075,7863.625,9262,10002.65
"73",0.55,"equal",102,0.540903142825,0.5503624605,0.56038538885,0.576773111375,0.588071998,0.598603724475,-0.91280647195,-0.8869066965,-0.8598468838,6074,6973.5,7504.1,8091.325,9401,10077.2
"74",0.55,"equal",103,0.5411140823,0.5503474505,0.560014043975,0.5776127884,0.588766957,0.598936916675,-0.913636574025,-0.8885952745,-0.8618328422,6218.35,7054.5,7559.825,8297.125,9514,10137.2
"75",0.55,"equal",104,0.54063361195,0.5502749135,0.560305919725,0.577744099475,0.589105709,0.59972829435,-0.915611701175,-0.889419298,-0.862143828675,6367.9,7147,7600.975,8495.675,9615.5,10208.975
"76",0.55,"equal",105,0.540733472475,0.550320052,0.5603040297,0.5784036971,0.589902381,0.599984447725,-0.916253541175,-0.891360053,-0.86370717975,6503.5,7225.5,7648.55,8673.35,9710.5,10276.35
"77",0.55,"equal",106,0.54036454425,0.550624742,0.56056758115,0.578919373275,0.5902051505,0.5999979325,-0.916285563725,-0.892098616,-0.864933604525,6641.925,7298.5,7689.8,8833.825,9809.5,10335.35
"78",0.55,"equal",107,0.5410214832,0.5505944435,0.56073826725,0.57959753225,0.590723725,0.60060538165,-0.9178057275,-0.893364892,-0.866542772025,6769.9,7369,7729.15,8986.825,9900,10385.225
"79",0.55,"equal",108,0.540858048525,0.5510411285,0.560201658075,0.5808064106,0.5913465215,0.60123482,-0.919382594275,-0.894887836,-0.869422486825,6866.425,7438.5,7766.775,9145.6,9989.5,10431.35
"80",0.55,"equal",109,0.541002829275,0.551036876,0.55990481395,0.581394446475,0.591990665,0.601350375475,-0.919672641075,-0.89646524,-0.870826413775,6952.175,7495.5,7793.95,9291.8,10063.5,10476.625
"81",0.55,"equal",110,0.540973114075,0.55108755,0.560142483675,0.58207207225,0.592287558,0.60192683625,-0.921119466375,-0.8971931695,-0.8724463934,7051.5,7536,7823.175,9428.325,10128.5,10512.675
