,VE_susc,Label_testingDiff,t,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR_timeDep.2.5.,VE_symptRR_timeDep.50.,VE_symptRR_timeDep.97.5.,VacStatus_coef_timeDep_VeRR.2.5.,VacStatus_coef_timeDep_VeRR.50.,VacStatus_coef_timeDep_VeRR.97.5.,Stats_sampleSizeCovid_unvac.2.5.,Stats_sampleSizeCovid_unvac.50.,Stats_sampleSizeCovid_unvac.97.5.,Stats_sampleSizeCovid_vac.2.5.,Stats_sampleSizeCovid_vac.50.,Stats_sampleSizeCovid_vac.97.5.
47,0.1,equal,76,0.085366418,0.100984909,0.113425625,0.103708441,0.122004647,0.139073098,-0.149745765,-0.130114019,-0.109489518,8846.325,9084,9258.675,23834,24505.5,24938.675
48,0.1,equal,77,0.085100009,0.101296059,0.113874936,0.103389909,0.122423486,0.139251023,-0.149953142,-0.130591144,-0.10913422,8924.6,9128.5,9295.2,24063.35,24630.5,25024.45
49,0.1,equal,78,0.085092407,0.101507497,0.113943617,0.103414561,0.122926565,0.139051823,-0.149721936,-0.131164558,-0.109161691,8984.025,9173,9321.1,24240.6,24737,25089.225
50,0.1,equal,79,0.085468248,0.101244101,0.113599776,0.103663859,0.1225435,0.138639673,-0.149243664,-0.130727914,-0.109439798,9032.65,9206,9347.575,24433.525,24834,25146.75
51,0.1,equal,80,0.085501449,0.100976603,0.113427374,0.103637859,0.1222223,0.139353795,-0.150072144,-0.130361907,-0.109410804,9078.175,9231,9364.1,24571.025,24921,25204.625
52,0.1,equal,81,0.085913356,0.101121221,0.113304722,0.103947352,0.122605795,0.139856664,-0.150656763,-0.13079891,-0.109756116,9116.65,9259,9379.925,24678.8,24978,25246.55
53,0.1,equal,82,0.086636307,0.100954395,0.113548583,0.104720433,0.122502978,0.140063174,-0.15089677,-0.130681717,-0.1106193,9138.375,9280,9396.825,24778.375,25024,25278.5
54,0.1,equal,83,0.086320402,0.101102008,0.113529045,0.104468177,0.122431617,0.140107958,-0.150948661,-0.130600402,-0.110337753,9160.075,9295,9408.2,24838.5,25079.5,25307.1
55,0.1,equal,84,0.086881708,0.100823366,0.113299896,0.105060815,0.122697792,0.139983025,-0.150803509,-0.130903756,-0.111000036,9179.65,9308.5,9418.25,24889.7,25112,25337.575
56,0.1,equal,85,0.086707467,0.100985797,0.1137612,0.104930568,0.122717908,0.140142055,-0.15098818,-0.130926694,-0.1108548,9197.65,9320.5,9428.05,24929.475,25144,25365.35
57,0.1,equal,86,0.086469264,0.100811772,0.113776764,0.105018898,0.122562963,0.140169322,-0.151019804,-0.130750079,-0.110953258,9211.6,9328,9436,24953.95,25167,25381.25
58,0.1,equal,87,0.086192998,0.100893779,0.113752032,0.104880002,0.122541401,0.14000827,-0.150832507,-0.130725513,-0.110797861,9225.175,9333.5,9444,24975.9,25189.5,25392.45
59,0.1,equal,88,0.085952615,0.10089142,0.113492002,0.104684139,0.122552926,0.139850093,-0.150648602,-0.130738647,-0.110578911,9236.9,9339,9452.525,24995.8,25203,25403.175
60,0.1,equal,89,0.085605697,0.100911,0.113433544,0.104376211,0.122629448,0.140087553,-0.15092477,-0.130825854,-0.110235019,9244.9,9343.5,9459.1,25015.95,25222.5,25415.6
61,0.1,equal,90,0.085579777,0.100990663,0.113226101,0.10434884,0.12256409,0.13976722,-0.150552372,-0.130751374,-0.110204315,9248.325,9348,9464.05,25033.275,25236.5,25428.075
62,0.1,equal,91,0.085757548,0.10085703,0.113346585,0.104417686,0.12253067,0.139801391,-0.15059209,-0.13071328,-0.110281199,9251.95,9354,9467.525,25045,25244.5,25440.6
63,0.1,equal,92,0.085603771,0.100744278,0.11338543,0.104341027,0.122648611,0.1398592,-0.15065933,-0.130847695,-0.110195617,9253.475,9357.5,9469.525,25055.475,25252.5,25449.4
64,0.1,equal,93,0.085627703,0.100830366,0.113334117,0.10442974,0.122558922,0.140015548,-0.150841129,-0.130745499,-0.110294666,9254.95,9360,9473.525,25063.95,25258.5,25455.925
65,0.1,equal,94,0.085844042,0.100926344,0.113426995,0.10452629,0.122564735,0.140094076,-0.150932428,-0.130752126,-0.11040257,9255.9,9360.5,9475,25066.95,25261.5,25461.925
66,0.1,equal,95,0.085830347,0.101005774,0.113484594,0.104622832,0.122794138,0.140174166,-0.151025572,-0.131013662,-0.110510328,9258.375,9362.5,9478,25070.325,25270,25467.975
67,0.1,equal,96,0.085663941,0.101203696,0.113451537,0.104641547,0.122668506,0.140255456,-0.151120139,-0.130870478,-0.110531171,9259.9,9363,9480,25074.85,25272.5,25470.35
68,0.1,equal,97,0.085606472,0.101233736,0.113441173,0.104587766,0.122574442,0.140095969,-0.150934584,-0.130763264,-0.110471101,9260.375,9365,9480,25077.8,25273,25471.35
69,0.1,equal,98,0.085642951,0.101240709,0.113528544,0.104612916,0.122624294,0.140183728,-0.151036644,-0.130820041,-0.110499208,9260.375,9366,9482.05,25078.325,25273.5,25472.925
70,0.1,equal,99,0.085527527,0.101182245,0.113545868,0.104514727,0.122573468,0.140163843,-0.151013453,-0.13076212,-0.110389523,9260.375,9366.5,9483.1,25079.85,25275,25474.4
71,0.1,equal,100,0.08547975,0.101111459,0.113542822,0.104447494,0.122617255,0.140211008,-0.151068346,-0.130812033,-0.11031444,9260.375,9366.5,9484.15,25081.325,25276,25475.35
72,0.1,modUnequal,30,-1.244281046,-0.666666667,-0.262605989,-1.246881322,-0.667936268,-0.262948567,0.233185927,0.51158709,0.808252439,31.95,59,99.825,161.7,299,476.55
73,0.1,modUnequal,31,-1.240530303,-0.639042868,-0.260001758,-1.243478488,-0.64095917,-0.260353263,0.231348339,0.495276025,0.807720843,38.95,70,112.625,187.275,350.5,555.4
74,0.1,modUnequal,32,-1.152688033,-0.661904762,-0.339138322,-1.155801634,-0.66367458,-0.339621326,0.292332468,0.509025874,0.767822424,46.475,83,131.05,222.8,406.5,651.875
