"","VE_infect","Label_testingDiff","t","Covid_cumPropSymptInfect_vac.0.","Covid_cumPropSymptInfect_vac.25.","Covid_cumPropSymptInfect_vac.50.","Covid_cumPropSymptInfect_vac.75.","Covid_cumPropSymptInfect_vac.100.","Covid_cumPropSymptInfect_unvac.0.","Covid_cumPropSymptInfect_unvac.25.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_unvac.75.","Covid_cumPropSymptInfect_unvac.100.","NonCovid_cumPropSymptInfect_vac.0.","NonCovid_cumPropSymptInfect_vac.25.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.75.","NonCovid_cumPropSymptInfect_vac.100.","NonCovid_cumPropSymptInfect_unvac.0.","NonCovid_cumPropSymptInfect_unvac.25.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.75.","NonCovid_cumPropSymptInfect_unvac.100.","Covid_cumPropSymptExpInfect_tested_vac.0.","Covid_cumPropSymptExpInfect_tested_vac.25.","Covid_cumPropSymptExpInfect_tested_vac.50.","Covid_cumPropSymptExpInfect_tested_vac.75.","Covid_cumPropSymptExpInfect_tested_vac.100.","Covid_cumPropSymptExpInfect_tested_unvac.0.","Covid_cumPropSymptExpInfect_tested_unvac.25.","Covid_cumPropSymptExpInfect_tested_unvac.50.","Covid_cumPropSymptExpInfect_tested_unvac.75.","Covid_cumPropSymptExpInfect_tested_unvac.100.","NonCovid_cumPropSymptInfect_tested_vac.0.","NonCovid_cumPropSymptInfect_tested_vac.25.","NonCovid_cumPropSymptInfect_tested_vac.50.","NonCovid_cumPropSymptInfect_tested_vac.75.","NonCovid_cumPropSymptInfect_tested_vac.100.","NonCovid_cumPropSymptInfect_tested_unvac.0.","NonCovid_cumPropSymptInfect_tested_unvac.25.","NonCovid_cumPropSymptInfect_tested_unvac.50.","NonCovid_cumPropSymptInfect_tested_unvac.75.","NonCovid_cumPropSymptInfect_tested_unvac.100.","CumProp_falseNeg_vac.0.","CumProp_falseNeg_vac.25.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.75.","CumProp_falseNeg_vac.100.","CumProp_falseNeg_unvac.0.","CumProp_falseNeg_unvac.25.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.75.","CumProp_falseNeg_unvac.100."
"21",0.1,"highUnequal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,2e-04,0.150733333333333,0.151703333333333,0.15204,0.15231,0.153186666666667,0.14856,0.15123,0.15204,0.15312,0.15624,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,0,4e-05,0.0276666666666667,0.02857,0.02886,0.02935,0.0306666666666667,0.0084,0.00944,0.00988,0.01024,0.01108,0,0,0,0,0,0,0,0,0,0
"22",0.3,"highUnequal",1,0,2.66666666666667e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.15,0.151413333333333,0.15196,0.152403333333333,0.154133333333333,0.14568,0.15118,0.1524,0.154,0.15824,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.0276533333333333,0.02845,0.0288333333333333,0.0292733333333333,0.0298933333333333,0.00832,0.0094,0.00976,0.01005,0.01116,0,0,0,0,0,0,0,0,0,0
"23",0.5,"highUnequal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00024,0.15068,0.151563333333333,0.15194,0.15234,0.15348,0.14784,0.15127,0.15244,0.15361,0.15632,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.02744,0.02842,0.0288533333333333,0.0292233333333333,0.03028,0.00852,0.00928,0.00976,0.01016,0.01124,0,0,0,0,0,0,0,0,0,0
"24",0.7,"highUnequal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00024,0.150213333333333,0.15154,0.15202,0.152483333333333,0.153466666666667,0.14804,0.15087,0.15224,0.15355,0.15732,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,0,8e-05,0.0267066666666667,0.0285633333333333,0.02888,0.0292566666666667,0.0309866666666667,0.00812,0.00936,0.00976,0.01016,0.0116,0,0,0,0,0,0,0,0,0,0
"25",0.9,"highUnequal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00032,0.150333333333333,0.15163,0.152133333333334,0.152443333333333,0.15368,0.14728,0.15093,0.1518,0.15328,0.15724,0,0,0,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.0275866666666667,0.0286033333333333,0.02894,0.0293233333333333,0.03016,0.00832,0.00924,0.0096,0.01009,0.01168,0,0,0,0,0,0,0,0,0,0
"26",0.1,"modUnequal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,2e-04,0.150733333333333,0.151703333333333,0.15204,0.15231,0.153186666666667,0.14856,0.15123,0.15204,0.15312,0.15624,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,0,8e-05,0.0276666666666667,0.02857,0.02886,0.02935,0.0306666666666667,0.01312,0.01425,0.01472,0.01513,0.01672,0,0,0,0,0,0,0,0,0,0
"27",0.3,"modUnequal",1,0,2.66666666666667e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.15,0.151413333333333,0.15196,0.152403333333333,0.154133333333333,0.14568,0.15118,0.1524,0.154,0.15824,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,1e-05,8e-05,0.0276533333333333,0.02845,0.0288333333333333,0.0292733333333333,0.0298933333333333,0.01252,0.0142,0.01468,0.01509,0.01668,0,0,0,0,0,0,0,0,0,0
"28",0.5,"modUnequal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00024,0.15068,0.151563333333333,0.15194,0.15234,0.15348,0.14784,0.15127,0.15244,0.15361,0.15632,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,4e-05,0.00012,0.02744,0.02842,0.0288533333333333,0.0292233333333333,0.03028,0.01248,0.014,0.01436,0.01497,0.016,0,0,0,0,0,0,0,0,0,0
"29",0.7,"modUnequal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00024,0.150213333333333,0.15154,0.15202,0.152483333333333,0.153466666666667,0.14804,0.15087,0.15224,0.15355,0.15732,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,4e-05,8e-05,0.0267066666666667,0.0285633333333333,0.02888,0.0292566666666667,0.0309866666666667,0.0128,0.01404,0.01446,0.01493,0.0164,0,0,0,0,0,0,0,0,0,0
"30",0.9,"modUnequal",1,0,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00032,0.150333333333333,0.15163,0.152133333333334,0.152443333333333,0.15368,0.14728,0.15093,0.1518,0.15328,0.15724,0,0,0,1.33333333333333e-05,4e-05,0,0,0,1e-05,8e-05,0.0275866666666667,0.0286033333333333,0.02894,0.0293233333333333,0.03016,0.0128,0.01411,0.01468,0.0151,0.016,0,0,0,0,0,0,0,0,0,0
