"","Covid_probTrans","Label_testingDiff","t","Covid_cumPropSymptInfect_vac.0.","Covid_cumPropSymptInfect_vac.25.","Covid_cumPropSymptInfect_vac.50.","Covid_cumPropSymptInfect_vac.75.","Covid_cumPropSymptInfect_vac.100.","Covid_cumPropSymptInfect_unvac.0.","Covid_cumPropSymptInfect_unvac.25.","Covid_cumPropSymptInfect_unvac.50.","Covid_cumPropSymptInfect_unvac.75.","Covid_cumPropSymptInfect_unvac.100.","NonCovid_cumPropSymptInfect_vac.0.","NonCovid_cumPropSymptInfect_vac.25.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.75.","NonCovid_cumPropSymptInfect_vac.100.","NonCovid_cumPropSymptInfect_unvac.0.","NonCovid_cumPropSymptInfect_unvac.25.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.75.","NonCovid_cumPropSymptInfect_unvac.100.","Covid_cumPropSymptExpInfect_tested_vac.0.","Covid_cumPropSymptExpInfect_tested_vac.25.","Covid_cumPropSymptExpInfect_tested_vac.50.","Covid_cumPropSymptExpInfect_tested_vac.75.","Covid_cumPropSymptExpInfect_tested_vac.100.","Covid_cumPropSymptExpInfect_tested_unvac.0.","Covid_cumPropSymptExpInfect_tested_unvac.25.","Covid_cumPropSymptExpInfect_tested_unvac.50.","Covid_cumPropSymptExpInfect_tested_unvac.75.","Covid_cumPropSymptExpInfect_tested_unvac.100.","NonCovid_cumPropSymptInfect_tested_vac.0.","NonCovid_cumPropSymptInfect_tested_vac.25.","NonCovid_cumPropSymptInfect_tested_vac.50.","NonCovid_cumPropSymptInfect_tested_vac.75.","NonCovid_cumPropSymptInfect_tested_vac.100.","NonCovid_cumPropSymptInfect_tested_unvac.0.","NonCovid_cumPropSymptInfect_tested_unvac.25.","NonCovid_cumPropSymptInfect_tested_unvac.50.","NonCovid_cumPropSymptInfect_tested_unvac.75.","NonCovid_cumPropSymptInfect_tested_unvac.100.","CumProp_falseNeg_vac.0.","CumProp_falseNeg_vac.25.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.75.","CumProp_falseNeg_vac.100.","CumProp_falseNeg_unvac.0.","CumProp_falseNeg_unvac.25.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.75.","CumProp_falseNeg_unvac.100."
"21",0.03,"highUnequal",1,0,4e-05,5.33333333333333e-05,5.33333333333333e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00028,0.150933333333333,0.151733333333333,0.152066666666667,0.152563333333333,0.154053333333333,0.14604,0.15055,0.1521,0.15305,0.15544,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,0,4e-05,0.0276533333333333,0.0286933333333333,0.0289466666666667,0.0292533333333333,0.0303333333333333,0.00816,0.00932,0.00988,0.01029,0.01148,0,0,0,0,0,0,0,0,0,0
"22",0.05,"highUnequal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,8e-05,0.00012,0.00024,0.150733333333333,0.1517,0.1521,0.152483333333333,0.153626666666667,0.14768,0.15084,0.15194,0.15324,0.15592,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.0277466666666667,0.02848,0.0290266666666667,0.0294266666666667,0.0301066666666667,0.00836,0.00936,0.00974,0.01016,0.01132,0,0,0,0,0,0,0,0,0,0
"23",0.07,"highUnequal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00012,0.00032,0.15068,0.151646666666667,0.15206,0.152483333333333,0.154,0.14612,0.15089,0.152,0.15325,0.15608,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,0,8e-05,0.0278933333333333,0.0286,0.0289866666666667,0.0293966666666667,0.03028,0.00856,0.00943,0.00984,0.01028,0.0112,0,0,0,0,0,0,0,0,0,0
"24",0.09,"highUnequal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,8e-05,0,8e-05,0.00012,0.00012,2e-04,0.150053333333333,0.1516,0.152086666666666,0.15251,0.1534,0.14816,0.15071,0.1519,0.15344,0.15812,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.02728,0.0283933333333333,0.02886,0.0292266666666667,0.0304,0.00876,0.00936,0.00976,0.01021,0.01156,0,0,0,0,0,0,0,0,0,0
"25",0.11,"highUnequal",1,0,2.66666666666667e-05,5.33333333333333e-05,5.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.150066666666667,0.151666666666667,0.152133333333334,0.15251,0.153293333333333,0.14844,0.15072,0.15188,0.1532,0.158,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,0,0.00016,0.0278133333333333,0.0284866666666666,0.0288466666666667,0.0292966666666667,0.0307866666666667,0.00836,0.00944,0.00982,0.01016,0.01136,0,0,0,0,0,0,0,0,0,0
"26",0.03,"modUnequal",1,0,4e-05,5.33333333333333e-05,5.33333333333333e-05,0.000106666666666667,0,8e-05,0.00012,0.00016,0.00028,0.150933333333333,0.151733333333333,0.152066666666667,0.152563333333333,0.154053333333333,0.14604,0.15055,0.1521,0.15305,0.15544,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,4e-05,0.00012,0.0276533333333333,0.0286933333333333,0.0289466666666667,0.0292533333333333,0.0303333333333333,0.01296,0.01411,0.01472,0.01513,0.01656,0,0,0,0,0,0,0,0,0,0
"27",0.05,"modUnequal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,0.000106666666666667,0,8e-05,8e-05,0.00012,0.00024,0.150733333333333,0.1517,0.1521,0.152483333333333,0.153626666666667,0.14768,0.15084,0.15194,0.15324,0.15592,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,1e-05,8e-05,0.0277466666666667,0.02848,0.0290266666666667,0.0294266666666667,0.0301066666666667,0.0116,0.01404,0.0144,0.01504,0.016,0,0,0,0,0,0,0,0,0,0
"28",0.07,"modUnequal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00012,0.00032,0.15068,0.151646666666667,0.15206,0.152483333333333,0.154,0.14612,0.15089,0.152,0.15325,0.15608,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,0,4e-05,0.0278933333333333,0.0286,0.0289866666666667,0.0293966666666667,0.03028,0.01252,0.01415,0.01464,0.01516,0.01696,0,0,0,0,0,0,0,0,0,0
"29",0.09,"modUnequal",1,1.33333333333333e-05,4e-05,5.33333333333333e-05,6.66666666666667e-05,8e-05,0,8e-05,0.00012,0.00012,2e-04,0.150053333333333,0.1516,0.152086666666666,0.15251,0.1534,0.14816,0.15071,0.1519,0.15344,0.15812,0,0,1.33333333333333e-05,1.33333333333333e-05,4e-05,0,0,0,0,8e-05,0.02728,0.0283933333333333,0.02886,0.0292266666666667,0.0304,0.01276,0.01424,0.01466,0.01512,0.01688,0,0,0,0,0,0,0,0,0,0
"30",0.11,"modUnequal",1,0,2.66666666666667e-05,5.33333333333333e-05,5.66666666666667e-05,9.33333333333333e-05,0,8e-05,0.00012,0.00016,0.00028,0.150066666666667,0.151666666666667,0.152133333333334,0.15251,0.153293333333333,0.14844,0.15072,0.15188,0.1532,0.158,0,0,1.33333333333333e-05,1.33333333333333e-05,5.33333333333333e-05,0,0,0,4e-05,0.00012,0.0278133333333333,0.0284866666666666,0.0288466666666667,0.0292966666666667,0.0307866666666667,0.01252,0.01404,0.01446,0.01488,0.01652,0,0,0,0,0,0,0,0,0,0
