Covid_probTrans,VE_infect,VE_susc,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,0.333333333,0.659340659,-0.216666667,0.109340659,8.00E-05,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,1,1,0.45,0.45,0.00012,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,equal,1,1,1.00E-04,0.666666667,0.684842884,0.116666667,0.134842884,8.00E-05,0.000106667
0.03,0.2,0.55,modUnequal,1,1,1.00E-04,NA,NA,NA,NA,8.00E-05,0.000106667
0.03,0.2,0.55,highUnequal,1,1,1.00E-04,NA,NA,NA,NA,8.00E-05,0.000106667
0.03,0.2,0.55,equal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00012,4.00E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,0.666666667,0.672292546,0.116666667,0.122292546,8.00E-05,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,8.00E-05,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,8.00E-05,5.33E-05
0.03,0.2,0.55,equal,1,1,8.00E-05,0.833333333,0.828088848,0.283333333,0.278088848,0.00016,5.33E-05
0.03,0.2,0.55,modUnequal,1,1,8.00E-05,0.666666667,0.832022212,0.116666667,0.282022212,0.00016,5.33E-05
0.03,0.2,0.55,highUnequal,1,1,8.00E-05,NA,NA,NA,NA,0.00016,5.33E-05
0.03,0.2,0.55,equal,1,1,6.00E-05,1,1,0.45,0.45,0.00016,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00016,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,6.00E-05,NA,NA,NA,NA,0.00016,2.67E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,1,1,0.45,0.45,8.00E-05,6.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,8.00E-05,6.67E-05
0.03,0.2,0.55,equal,1,1,7.00E-05,1,1,0.45,0.45,2.00E-04,2.67E-05
0.03,0.2,0.55,modUnequal,1,1,7.00E-05,1,1,0.45,0.45,2.00E-04,2.67E-05
0.03,0.2,0.55,highUnequal,1,1,7.00E-05,NA,NA,NA,NA,2.00E-04,2.67E-05
0.03,0.2,0.55,equal,1,1,1.00E-04,0.666666667,0.680637813,0.116666667,0.130637813,0.00028,4.00E-05
