VE_susc,VE_infect,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.2,0.1,equal,51,51,0.21282,0.11298606,0.136345941,0.01298606,0.036345941,0.2294,0.207293333
0.1,0.2,0.1,modUnequal,51,51,0.21282,-0.577299413,0.037695907,-0.677299413,-0.062304093,0.2294,0.207293333
0.1,0.2,0.1,highUnequal,51,51,0.21282,-1.204193254,-0.047335976,-1.304193254,-0.147335976,0.2294,0.207293333
0.1,0.2,0.1,equal,51,51,0.168,0.069897633,0.092558761,-0.030102367,-0.007441239,0.17748,0.16484
0.1,0.2,0.1,modUnequal,51,51,0.168,-0.642655367,0.004731166,-0.742655367,-0.095268834,0.17748,0.16484
0.1,0.2,0.1,highUnequal,51,51,0.168,-1.343812979,-0.114487778,-1.443812979,-0.214487778,0.17748,0.16484
0.1,0.2,0.1,equal,53,53,0.20762,0.11548459,0.135134288,0.01548459,0.035134288,0.22896,0.200506667
0.1,0.2,0.1,modUnequal,53,53,0.20762,-0.622615804,0.005241167,-0.722615804,-0.094758833,0.22896,0.200506667
0.1,0.2,0.1,highUnequal,53,53,0.20762,-1.062337662,0.012230218,-1.162337662,-0.087769782,0.22896,0.200506667
0.1,0.2,0.1,equal,53,53,0.1786,0.121317661,0.146584276,0.021317661,0.046584276,0.19236,0.174013333
0.1,0.2,0.1,modUnequal,53,53,0.1786,-0.603124173,0.033423921,-0.703124173,-0.066576079,0.19236,0.174013333
0.1,0.2,0.1,highUnequal,53,53,0.1786,-1.285768214,-0.102773198,-1.385768214,-0.202773198,0.19236,0.174013333
0.1,0.2,0.1,equal,47,47,0.20268,0.116196288,0.141393208,0.016196288,0.041393208,0.2146,0.198706667
0.1,0.2,0.1,modUnequal,47,47,0.20268,-0.610377577,0.016390495,-0.710377577,-0.083609505,0.2146,0.198706667
0.1,0.2,0.1,highUnequal,47,47,0.20268,-1.30810093,-0.092218229,-1.40810093,-0.192218229,0.2146,0.198706667
0.1,0.2,0.1,equal,47,47,0.17216,0.118565211,0.133904433,0.018565211,0.033904433,0.188,0.16688
0.1,0.2,0.1,modUnequal,47,47,0.17216,-0.567387243,0.05208351,-0.667387243,-0.04791649,0.188,0.16688
0.1,0.2,0.1,highUnequal,47,47,0.17216,-1.182460052,-0.046501052,-1.282460052,-0.146501052,0.188,0.16688
0.1,0.2,0.1,equal,49,49,0.18622,0.132896712,0.151012638,0.032896712,0.051012638,0.20256,0.180773333
0.1,0.2,0.1,modUnequal,49,49,0.18622,-0.65753782,-0.003731664,-0.75753782,-0.103731664,0.20256,0.180773333
0.1,0.2,0.1,highUnequal,49,49,0.18622,-1.305041712,-0.138416674,-1.405041712,-0.238416674,0.20256,0.180773333
0.1,0.2,0.1,equal,46,46,0.18834,0.112286641,0.138120487,0.012286641,0.038120487,0.20304,0.18344
0.1,0.2,0.1,modUnequal,46,46,0.18834,-0.634970122,0.039854216,-0.734970122,-0.060145784,0.20304,0.18344
0.1,0.2,0.1,highUnequal,46,46,0.18834,-1.19881202,-0.046475623,-1.29881202,-0.146475623,0.20304,0.18344
0.1,0.2,0.1,equal,51,51,0.18158,0.097161888,0.107295534,-0.002838112,0.007295534,0.19716,0.176386667
0.1,0.2,0.1,modUnequal,51,51,0.18158,-0.661337597,-0.017140845,-0.761337597,-0.117140845,0.19716,0.176386667
0.1,0.2,0.1,highUnequal,51,51,0.18158,-1.380679649,-0.146633809,-1.480679649,-0.246633809,0.19716,0.176386667
0.1,0.2,0.1,equal,51,51,0.19266,0.046187364,0.053120853,-0.053812636,-0.046879147,0.20436,0.18876
0.1,0.2,0.1,modUnequal,51,51,0.19266,-0.682551883,-0.04654681,-0.782551883,-0.14654681,0.20436,0.18876
0.1,0.2,0.1,highUnequal,51,51,0.19266,-1.224593496,-0.08346338,-1.324593496,-0.18346338,0.20436,0.18876
0.1,0.2,0.1,equal,49,49,0.16936,0.082825441,0.079885779,-0.017174559,-0.020114221,0.18336,0.164693333
0.1,0.2,0.1,modUnequal,49,49,0.16936,-0.664964539,-0.033642283,-0.764964539,-0.133642283,0.18336,0.164693333
0.1,0.2,0.1,highUnequal,49,49,0.16936,-1.340111643,-0.133858442,-1.440111643,-0.233858442,0.18336,0.164693333
0.1,0.2,0.1,equal,50,50,0.20257,0.068619474,0.0858875,-0.031380526,-0.0141125,0.21748,0.1976
0.1,0.2,0.1,modUnequal,50,50,0.20257,-0.609939053,0.040157435,-0.709939053,-0.059842565,0.21748,0.1976
0.1,0.2,0.1,highUnequal,50,50,0.20257,-1.240052185,-0.100522235,-1.340052185,-0.200522235,0.21748,0.1976
0.1,0.2,0.1,equal,48,48,0.17097,0.083410709,0.09518444,-0.016589291,-0.00481556,0.18208,0.167266667
0.1,0.2,0.1,modUnequal,48,48,0.17097,-0.744110718,-0.085909449,-0.844110718,-0.185909449,0.18208,0.167266667
0.1,0.2,0.1,highUnequal,48,48,0.17097,-1.293070074,-0.129066381,-1.393070074,-0.229066381,0.18208,0.167266667
0.1,0.2,0.1,equal,51,51,0.21363,0.088296954,0.102896497,-0.011703046,0.002896497,0.23516,0.206453333
0.1,0.2,0.1,modUnequal,51,51,0.21363,-0.646181251,-0.022070674,-0.746181251,-0.122070674,0.23516,0.206453333
0.1,0.2,0.1,highUnequal,51,51,0.21363,-1.244383728,-0.121718964,-1.344383728,-0.221718964,0.23516,0.206453333
0.1,0.2,0.1,equal,47,47,0.19278,0.129421222,0.149246661,0.029421222,0.049246661,0.21008,0.187013333
0.1,0.2,0.1,modUnequal,47,47,0.19278,-0.693510555,-0.029633277,-0.793510555,-0.129633277,0.21008,0.187013333
0.1,0.2,0.1,highUnequal,47,47,0.19278,-1.104956268,0.012137362,-1.204956268,-0.087862638,0.21008,0.187013333
0.1,0.2,0.1,equal,52,52,0.19154,0.12133606,0.1519931,0.02133606,0.0519931,0.20812,0.186013333
0.1,0.2,0.1,modUnequal,52,52,0.19154,-0.609238452,0.019740005,-0.709238452,-0.080259995,0.20812,0.186013333
0.1,0.2,0.1,highUnequal,52,52,0.19154,-1.230875736,-0.077271948,-1.330875736,-0.177271948,0.20812,0.186013333
0.1,0.2,0.1,equal,49,49,0.17633,0.147908581,0.167658915,0.047908581,0.067658915,0.19516,0.170053333
0.1,0.2,0.1,modUnequal,49,49,0.17633,-0.593548387,0.06506345,-0.693548387,-0.03493655,0.19516,0.170053333
0.1,0.2,0.1,highUnequal,49,49,0.17633,-1.303030303,-0.080251853,-1.403030303,-0.180251853,0.19516,0.170053333
0.1,0.2,0.1,equal,48,48,0.18059,0.089164452,0.093913334,-0.010835548,-0.006086666,0.191,0.17712
0.1,0.2,0.1,modUnequal,48,48,0.18059,-0.734120292,-0.055858815,-0.834120292,-0.155858815,0.191,0.17712
0.1,0.2,0.1,highUnequal,48,48,0.18059,-1.23793979,-0.085768873,-1.33793979,-0.185768873,0.191,0.17712
0.1,0.2,0.1,equal,50,50,0.18453,0.106722689,0.125118765,0.006722689,0.025118765,0.19792,0.180066667
0.1,0.2,0.1,modUnequal,50,50,0.18453,-0.710378117,-0.048445904,-0.810378117,-0.148445904,0.19792,0.180066667
0.1,0.2,0.1,highUnequal,50,50,0.18453,-1.323497268,-0.152563162,-1.423497268,-0.252563162,0.19792,0.180066667
