VE_infect,VE_susc,Covid_probTrans,Label_testingDiff,t,t_highChange,Covid_cumPropSymptInfect_highChange,VE_symptRR_observed,VE_symptOR_observed,VE_symptRR_degUnderNeg_highChange_trueVeff,VE_symptOR_degUnderNeg_highChange_trueVeff,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac
0.1,0.1,0.1,highUnequal,48,48,0.19278,-1.332622601,-0.110783276,-1.432622601,-0.210783276,0.2078,0.187773333
0.1,0.1,0.1,equal,49,49,0.20478,0.11560988,0.129211347,0.01560988,0.029211347,0.22384,0.198426667
0.1,0.1,0.1,modUnequal,49,49,0.20478,-0.670514671,-0.015337576,-0.770514671,-0.115337576,0.22384,0.198426667
0.1,0.1,0.1,highUnequal,49,49,0.20478,-1.406791407,-0.156181245,-1.506791407,-0.256181245,0.22384,0.198426667
0.1,0.1,0.1,equal,50,50,0.18942,0.120897383,0.138873112,0.020897383,0.038873112,0.20556,0.18404
0.1,0.1,0.1,modUnequal,50,50,0.18942,-0.575577066,0.026270632,-0.675577066,-0.073729368,0.20556,0.18404
0.1,0.1,0.1,highUnequal,50,50,0.18942,-1.369540873,-0.145088081,-1.469540873,-0.245088081,0.20556,0.18404
0.1,0.1,0.1,equal,50,50,0.20092,0.060019228,0.090616535,-0.039980772,-0.009383465,0.21496,0.19624
0.1,0.1,0.1,modUnequal,50,50,0.20092,-0.671306471,-0.005398947,-0.771306471,-0.105398947,0.21496,0.19624
0.1,0.1,0.1,highUnequal,50,50,0.20092,-1.398878374,-0.159893553,-1.498878374,-0.259893553,0.21496,0.19624
0.1,0.1,0.1,equal,48,48,0.20458,0.134166351,0.15305452,0.034166351,0.05305452,0.22316,0.198386667
0.1,0.1,0.1,modUnequal,48,48,0.20458,-0.632167499,0.012771287,-0.732167499,-0.087228713,0.22316,0.198386667
0.1,0.1,0.1,highUnequal,48,48,0.20458,-1.391910739,-0.154907454,-1.491910739,-0.254907454,0.22316,0.198386667
0.1,0.1,0.1,equal,48,48,0.21824,0.096236361,0.111639914,-0.003763639,0.011639914,0.23712,0.211946667
0.1,0.1,0.1,modUnequal,48,48,0.21824,-0.624146288,0.002507863,-0.724146288,-0.097492137,0.23712,0.211946667
0.1,0.1,0.1,highUnequal,48,48,0.21824,-1.285891473,-0.096596482,-1.385891473,-0.196596482,0.23712,0.211946667
0.1,0.1,0.1,equal,49,49,0.18408,0.108778069,0.118551152,0.008778069,0.018551152,0.19576,0.180186667
