VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,VE_symptOR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,totalNum_sims
0.1,equal,0.5,Highest Growth,0.009186871,0.005924019,1010.5,2700.5,8220.5,24571.5,100
0.1,equal,0.5,Peak,-0.007262278,-0.00403016,2552,6946,8764,26386,100
0.1,modUnequal,0.5,Highest Growth,-0.798427673,-0.136620467,530,2700.5,4999,24571.5,100
0.1,modUnequal,0.5,Peak,-0.738014385,-0.144881343,1413.5,6946,5610.5,26386,100
0.1,highUnequal,0.5,Highest Growth,-1.423010753,-0.200313804,387.5,2700.5,3879.5,24571.5,100
0.1,highUnequal,0.5,Peak,-1.339200516,-0.234705908,1034,6946,4457,26386,100
0.1,equal,0.5,Highest Growth,0.006365834,0.018283744,1241,3327,8434,25644,100
0.1,equal,0.5,Peak,0.004560844,0.020597717,2510.5,6744,8819.5,26941,100
0.1,modUnequal,0.5,Highest Growth,-0.734487841,-0.093255392,678.5,3327,5194.5,25644,100
0.1,modUnequal,0.5,Peak,-0.715522817,-0.110923552,1391.5,6744,5619.5,26941,100
0.1,highUnequal,0.5,Highest Growth,-1.300396825,-0.165704593,504,3327,4140,25644,100
0.1,highUnequal,0.5,Peak,-1.298533007,-0.218933422,1022.5,6744,4570.5,26941,100
0.1,equal,0.5,Highest Growth,-0.0100958,-0.011091295,1357,3705,8542,25598,100
0.1,equal,0.5,Peak,0.005656278,0.010048616,2454.5,6585.5,8847.5,26673.5,100
0.1,modUnequal,0.5,Highest Growth,-0.755495979,-0.124806207,746,3705,5282,25598,100
0.1,modUnequal,0.5,Peak,-0.697646773,-0.102665829,1374,6585.5,5580,26673.5,100
0.1,highUnequal,0.5,Highest Growth,-1.533497537,-0.271164658,507.5,3705,4106.5,25598,100
0.1,highUnequal,0.5,Peak,-1.3456948,-0.232424238,977.5,6585.5,4483.5,26673.5,100
0.1,equal,0.5,Highest Growth,-0.017090461,-0.019586467,1081.5,2975.5,7982.5,23882.5,100
0.1,equal,0.5,Peak,-0.007607248,-0.001782329,2502,6812.5,8489,25631.5,100
0.1,modUnequal,0.5,Highest Growth,-0.704908306,-0.094697069,618,2975.5,4934,23882.5,100
0.1,modUnequal,0.5,Peak,-0.708808596,-0.120871483,1411.5,6812.5,5421.5,25631.5,100
0.1,highUnequal,0.5,Highest Growth,-1.43372549,-0.196677533,425,2975.5,3741,23882.5,100
0.1,highUnequal,0.5,Peak,-1.336172657,-0.216406898,1015.5,6812.5,4265.5,25631.5,100
0.1,equal,0.5,Highest Growth,-0.019154229,-0.025968235,1072,2956,8380,24955,100
0.1,equal,0.5,Peak,-0.006091884,-0.017199449,2470.5,6715.5,8890.5,26348.5,100
0.1,modUnequal,0.5,Highest Growth,-0.756022409,-0.106553713,595,2956,5056,24955,100
0.1,modUnequal,0.5,Peak,-0.723277737,-0.128360324,1379,6715.5,5564,26348.5,100
0.1,highUnequal,0.5,Highest Growth,-1.339393939,-0.171193967,440,2956,3979,24955,100
0.1,highUnequal,0.5,Peak,-1.316336634,-0.231279253,1010,6715.5,4483,26348.5,100
0.1,equal,0.5,Highest Growth,-0.010326087,0.002590993,920,2512.5,7978,24278.5,100
0.1,equal,0.5,Peak,0.000854701,0.017747049,2437.5,6575,8591.5,26268,100
0.1,modUnequal,0.5,Highest Growth,-0.753504442,-0.09859995,506.5,2512.5,4887.5,24278.5,100
0.1,modUnequal,0.5,Peak,-0.705616606,-0.104152185,1365,6575,5476,26268,100
0.1,highUnequal,0.5,Highest Growth,-1.385129604,-0.154772944,366.5,2512.5,3735.5,24278.5,100
0.1,highUnequal,0.5,Peak,-1.352483727,-0.204632837,973,6575,4294,26268,100
0.1,equal,0.5,Highest Growth,-0.015361493,-0.017579283,1053.5,2893,8619.5,25796,100
0.1,equal,0.5,Peak,0.003581604,0.00359807,2457,6607.5,9073,27219.5,100
0.1,modUnequal,0.5,Highest Growth,-0.774189815,-0.117130671,576,2893,5224,25796,100
0.1,modUnequal,0.5,Peak,-0.74304364,-0.13048254,1340.5,6607.5,5690.5,27219.5,100
0.1,highUnequal,0.5,Highest Growth,-1.233480826,-0.130184415,452,2893,4152,25796,100
0.1,highUnequal,0.5,Peak,-1.261432777,-0.202493899,1019,6607.5,4628,27219.5,100
0.1,equal,0.5,Highest Growth,-0.002791965,-0.001696501,979,2651.5,8094,24311.5,100
0.1,equal,0.5,Peak,-0.016149276,-0.005956847,2496.5,6861.5,8651.5,26246.5,100
0.1,modUnequal,0.5,Highest Growth,-0.739764997,-0.064373236,539,2651.5,4766,24311.5,100
0.1,modUnequal,0.5,Peak,-0.746035744,-0.103651269,1389.5,6861.5,5334.5,26246.5,100
0.1,highUnequal,0.5,Highest Growth,-1.298590381,-0.1347478,402,2651.5,3814,24311.5,100
0.1,highUnequal,0.5,Peak,-1.308755835,-0.205156345,1035.5,6861.5,4377.5,26246.5,100
0.1,equal,0.5,Highest Growth,-0.008993862,-0.024109012,1249,3406,8274,24416,100
0.1,equal,0.5,Peak,-0.005537891,-0.014265207,2516,6835,8695,25836,100
0.1,modUnequal,0.5,Highest Growth,-0.721904762,-0.087252153,700,3406,4954,24416,100
0.1,modUnequal,0.5,Peak,-0.730875686,-0.122611322,1397,6835,5400,25836,100
0.1,highUnequal,0.5,Highest Growth,-1.372939606,-0.183453785,499.5,3406,3879.5,24416,100
0.1,highUnequal,0.5,Peak,-1.338048461,-0.223442115,1018,6835,4323,25836,100
0.1,equal,0.5,Highest Growth,0.009040718,-0.006732246,1449,3873,8508,25080,100
0.1,equal,0.5,Peak,-0.002513875,-0.012202597,2552.5,6911,8834.5,26222,100
0.1,modUnequal,0.5,Highest Growth,-0.799802502,-0.15576848,759.5,3873,5192.5,25080,100
0.1,modUnequal,0.5,Peak,-0.743715067,-0.149245849,1401.5,6911,5579.5,26222,100
0.1,highUnequal,0.5,Highest Growth,-1.393072824,-0.239130555,563,3873,4153,25080,100
0.1,highUnequal,0.5,Peak,-1.328995323,-0.2489671,1033.5,6911,4505.5,26222,100
0.1,equal,0.5,Highest Growth,-0.028764081,-0.019865855,1050.5,2927,8149.5,24685,100
0.1,equal,0.5,Peak,-0.033947183,-0.020068474,2606.5,7303,8695.5,26480,100
0.1,modUnequal,0.5,Highest Growth,-0.746694796,-0.112332059,592.5,2927,5058.5,24685,100
0.1,modUnequal,0.5,Peak,-0.722888889,-0.133488494,1500,7303,5621,26480,100
0.1,highUnequal,0.5,Highest Growth,-1.512031314,-0.253348658,404.5,2927,3934.5,24685,100
0.1,highUnequal,0.5,Peak,-1.395458117,-0.271177753,1060.5,7303,4503.5,26480,100
0.1,equal,0.5,Highest Growth,-0.022838069,-0.014221207,1073.5,2972,8222.5,24900,100
0.1,equal,0.5,Peak,-0.007132343,0.00491197,2491,6779,8695,26436,100
0.1,modUnequal,0.5,Highest Growth,-0.82140168,-0.135018685,575.5,2972,4990.5,24900,100
0.1,modUnequal,0.5,Peak,-0.762742212,-0.137798703,1359,6779,5500,26436,100
0.1,highUnequal,0.5,Highest Growth,-1.326217228,-0.144444565,445,2972,3894,24900,100
0.1,highUnequal,0.5,Peak,-1.277991968,-0.191096861,1037.5,6779,4414.5,26436,100
0.1,equal,0.5,Highest Growth,-0.000471581,0.000881976,1343,3628,8414,25280,100
0.1,equal,0.5,Peak,0.005770536,0.006957597,2455,6586,8777,26366,100
0.1,modUnequal,0.5,Highest Growth,-0.766896393,-0.120215761,725.5,3628,5157.5,25280,100
0.1,modUnequal,0.5,Peak,-0.742598828,-0.130658185,1336.5,6586,5514.5,26366,100
0.1,highUnequal,0.5,Highest Growth,-1.36255067,-0.210108672,534.5,3628,4134.5,25280,100
0.1,highUnequal,0.5,Peak,-1.310808996,-0.237519337,993,6586,4522,26366,100
0.1,equal,0.5,Highest Growth,-0.039670347,-0.048204656,1041.5,2936,8462.5,25159,100
0.1,equal,0.5,Peak,-0.002994258,-0.002740451,2438,6604.5,8892,26683.5,100
0.1,modUnequal,0.5,Highest Growth,-0.771505835,-0.112211422,585.5,2936,5078.5,25159,100
0.1,modUnequal,0.5,Peak,-0.74906367,-0.131394817,1335,6604.5,5563,26683.5,100
0.1,highUnequal,0.5,Highest Growth,-1.49869281,-0.247242362,408,2936,4011,25159,100
0.1,highUnequal,0.5,Peak,-1.25200391,-0.201587925,1023,6604.5,4553,26683.5,100
0.1,equal,0.5,Highest Growth,-0.009161976,-0.011165671,1066,2907.5,7958,23821.5,100
0.1,equal,0.5,Peak,-0.014788004,-0.013785987,2417.5,6634.5,8511.5,25562.5,100
0.1,modUnequal,0.5,Highest Growth,-0.833750745,-0.148045284,559,2907.5,4800,23821.5,100
0.1,modUnequal,0.5,Peak,-0.764033108,-0.141090718,1329,6634.5,5331,25562.5,100
0.1,highUnequal,0.5,Highest Growth,-1.353875969,-0.209268596,430,2907.5,3908,23821.5,100
0.1,highUnequal,0.5,Peak,-1.302689243,-0.250611617,1004,6634.5,4451,25562.5,100
0.1,equal,0.5,Highest Growth,-0.006672297,-0.002941136,1184,3220.5,8349,25150.5,100
0.1,equal,0.5,Peak,-0.002998236,0.000882552,2457,6656,8804,26526,100
0.1,modUnequal,0.5,Highest Growth,-0.77211838,-0.108636327,642,3220.5,5057,25150.5,100
0.1,modUnequal,0.5,Peak,-0.761922597,-0.14316562,1335,6656,5550,26526,100
0.1,highUnequal,0.5,Highest Growth,-1.317975207,-0.175983201,484,3220.5,4067,25150.5,100
0.1,highUnequal,0.5,Peak,-1.288034188,-0.221979983,1014,6656,4534,26526,100
0.1,equal,0.5,Highest Growth,-0.000257954,-0.006479426,1163,3141,8305,24744,100
0.1,equal,0.5,Peak,-0.005568536,-0.008851761,2568,6976.5,8812,26340.5,100
