"","VE_susc","Label_testingDiff","t","t_highChange","NonCovid_propSympt","Covid_cumPropSymptInfect_highChange","VE_symptRR_observed","VE_symptOR_observed","VE_symptRR_degUnderNeg_highChange_trueVeff","VE_symptOR_degUnderNeg_highChange_trueVeff","NonCovid_cumSymptInfect_tested_unvac","NonCovid_cumSymptInfect_tested_vac","totalNum_sims"
"23239",0.55,"equal",72,72,0.05,0.09901,0.550105485232068,0.586359120888124,0.000105485232067548,0.0363591208881242,3788,12360,100
"23590",0.55,"modUnequal",72,72,0.05,0.09901,0.174249757986447,0.532408904219025,-0.375750242013553,-0.0175910957809754,2333,12360,100
"23941",0.55,"highUnequal",72,72,0.05,0.09901,-0.102067183462532,0.523329193948973,-0.652067183462532,-0.0266708060510273,1782,12360,100
"24298",0.55,"equal",78,78,0.05,0.0916,0.559577677224736,0.588290734419735,0.00957767722473601,0.0382907344197351,4120,13222,100
"24649",0.55,"modUnequal",78,78,0.05,0.0916,0.182931094788388,0.537641086916254,-0.367068905211613,-0.0123589130837457,2494,13222,100
"25000",0.55,"highUnequal",78,78,0.05,0.0916,-0.188804071246819,0.470513751658409,-0.738804071246819,-0.0794862483415913,1963,13222,100
"25350",0.55,"equal",77,77,0.05,0.12233,0.52368573079145,0.576099399989522,-0.0263142692085501,0.0260993999895223,3847,12968,100
"25701",0.55,"modUnequal",77,77,0.05,0.12233,0.158244002041858,0.543745919983978,-0.391755997958142,-0.00625408001602246,2343,12968,100
"26052",0.55,"highUnequal",77,77,0.05,0.12233,-0.114942528735632,0.536758918504967,-0.664942528735632,-0.013241081495033,1796,12968,100
"26406",0.55,"equal",80,80,0.05,0.08397,0.520051746442432,0.556642684981472,-0.0299482535575679,0.00664268498147191,4261,13838,100
"26757",0.55,"modUnequal",80,80,0.05,0.08397,0.185510428100988,0.552731156463319,-0.364489571899012,0.00273115646331878,2533,13838,100
"27108",0.55,"highUnequal",80,80,0.05,0.08397,-0.200647249190939,0.48149530559582,-0.750647249190939,-0.0685046944041805,1992,13838,100
"27446",0.55,"equal",67,67,0.05,0.08341,0.542171234331846,0.559540795295416,-0.00782876566815394,0.00954079529541618,3753,11703,100
"27797",0.55,"modUnequal",67,67,0.05,0.08341,0.167632290459637,0.527165638466689,-0.382367709540363,-0.0228343615333106,2216,11703,100
"28148",0.55,"highUnequal",67,67,0.05,0.08341,-0.179529282977559,0.456346154628646,-0.729529282977559,-0.0936538453713538,1798,11703,100
"28509",0.55,"equal",77,77,0.05,0.09636,0.564751361799332,0.596877094809775,0.0147513617993322,0.0468770948097748,4028,13047,100
"28860",0.55,"modUnequal",77,77,0.05,0.09636,0.18813503769256,0.541330831825849,-0.36186496230744,-0.00866916817415064,2457,13047,100
"29211",0.55,"highUnequal",77,77,0.05,0.09636,-0.093598233995585,0.522729489969276,-0.643598233995585,-0.0272705100307244,1898,13047,100
