VE_susc,Label_testingDiff,Test_sens,Label_epiPhase,VE_symptRR_degUnderNeg_testSens,FalseNeg_withTestSens_unvac,FalseNeg_withTestSens_vac,NonCovid_cumSymptInfect_tested_withTestSens_unvac,NonCovid_cumSymptInfect_tested_withTestSens_vac,VE_symptOR_degUnderNeg_testSens,totalNum_sims
0.55,highUnequal,0.5,Peak,-0.617354699,920.5,2947.5,6222.5,35070.5,-0.118136862,100
0.55,equal,0.5,Highest Growth,-0.002803067,1043.5,1417.5,9692.5,29995.5,0.011054786,100
0.55,equal,0.5,Peak,-0.00213459,2174.5,2949.5,10272.5,32520.5,0.021542328,100
0.55,modUnequal,0.5,Highest Growth,-0.32970297,606,1417.5,6011,29995.5,-0.018749768,100
0.55,modUnequal,0.5,Peak,-0.33905832,1246,2949.5,6626,32520.5,-0.032308122,100
0.55,highUnequal,0.5,Highest Growth,-0.619004525,442,1417.5,4840,29995.5,-0.067475811,100
0.55,highUnequal,0.5,Peak,-0.629216978,911,2949.5,5487,32520.5,-0.096270527,100
0.55,equal,0.5,Highest Growth,0.014804869,931,1215.5,10214,31409.5,0.025438985,100
0.55,equal,0.5,Peak,0.007809984,2070,2746,10783,33996,0.029232709,100
0.55,modUnequal,0.5,Highest Growth,-0.363587684,498,1215.5,6426,31409.5,-0.049350304,100
0.55,modUnequal,0.5,Peak,-0.361465721,1128,2746,7066,33996,-0.055984538,100
0.55,highUnequal,0.5,Highest Growth,-0.605121528,384,1215.5,5168,31409.5,-0.070817083,100
0.55,highUnequal,0.5,Peak,-0.603924391,868.5,2746,5823.5,33996,-0.091610368,100
0.55,equal,0.5,Highest Growth,0.005841482,971.5,1294.5,10168.5,30944.5,0.012142621,100
0.55,equal,0.5,Peak,-0.002427028,2067,2805.5,10645,33436.5,0.017889667,100
0.55,modUnequal,0.5,Highest Growth,-0.307017544,570,1294.5,6338,30944.5,-0.015153148,100
0.55,modUnequal,0.5,Peak,-0.353062831,1164.5,2805.5,6910.5,33436.5,-0.04791985,100
0.55,highUnequal,0.5,Highest Growth,-0.673697917,384,1294.5,5129,30944.5,-0.108753247,100
0.55,highUnequal,0.5,Peak,-0.643762183,855,2805.5,5750,33436.5,-0.114275497,100
0.55,equal,0.5,Highest Growth,-0.014920205,1107,1544,10903,33650,-0.001919019,100
0.55,equal,0.5,Peak,-0.005318491,2156,2945,11183,35531,0.02008021,100
0.55,modUnequal,0.5,Highest Growth,-0.390272109,612.5,1544,7046.5,33650,-0.077873172,100
0.55,modUnequal,0.5,Peak,-0.360959659,1210.5,2945,7521.5,35531,-0.065012221,100
0.55,highUnequal,0.5,Highest Growth,-0.692434332,450.5,1544,5679.5,33650,-0.128465598,100
0.55,highUnequal,0.5,Peak,-0.625799087,912.5,2945,6204.5,35531,-0.113575084,100
0.55,equal,0.5,Highest Growth,-0.004545455,1067,1455,10605,32221,0.001182035,100
0.55,equal,0.5,Peak,-0.004663015,2191,2988.5,10973,34373.5,0.014575856,100
0.55,modUnequal,0.5,Highest Growth,-0.388375108,578.5,1455,6631.5,32221,-0.067645436,100
0.55,modUnequal,0.5,Peak,-0.360220957,1229.5,2988.5,7119.5,34373.5,-0.053443185,100
0.55,highUnequal,0.5,Highest Growth,-0.672685185,432,1455,5345,32221,-0.108711925,100
0.55,highUnequal,0.5,Peak,-0.655623381,901,2988.5,5949,34373.5,-0.124048627,100
0.55,equal,0.5,Highest Growth,0.004621849,654.5,874.5,9862.5,30124.5,0.012561169,100
0.55,equal,0.5,Peak,-0.000222646,2096,2831,10716,33759,0.021262252,100
0.55,modUnequal,0.5,Highest Growth,-0.343197279,367.5,874.5,6190.5,30124.5,-0.038999428,100
0.55,modUnequal,0.5,Peak,-0.335080422,1202,2831,7030,33759,-0.040457244,100
0.55,highUnequal,0.5,Highest Growth,-0.60615942,276,874.5,4943,30124.5,-0.069902008,100
