"","VE_susc","t","Label_testingDiff","NonCovid_cumPropSymptInfect_unvac.2.5.","NonCovid_cumPropSymptInfect_unvac.50.","NonCovid_cumPropSymptInfect_unvac.97.5.","NonCovid_cumPropSymptInfect_vac.2.5.","NonCovid_cumPropSymptInfect_vac.50.","NonCovid_cumPropSymptInfect_vac.97.5.","CumProp_falseNeg_vac.2.5.","CumProp_falseNeg_vac.50.","CumProp_falseNeg_vac.97.5.","CumProp_falseNeg_unvac.2.5.","CumProp_falseNeg_unvac.50.","CumProp_falseNeg_unvac.97.5.","VE_symptOR_observed.2.5.","VE_symptOR_observed.50.","VE_symptOR_observed.97.5.","VE_symptOR.2.5.","VE_symptOR.50.","VE_symptOR.97.5.","VE_symptRR_observed.2.5.","VE_symptRR_observed.50.","VE_symptRR_observed.97.5.","VE_symptRR.2.5.","VE_symptRR.50.","VE_symptRR.97.5.","t_highChange.2.5.","t_highChange.50.","t_highChange.97.5.","totalNum_sims"
"124",0.1,82,"highUnequal",0.296117,0.3027,0.309593,0.347966333333333,0.350826666666667,0.353973,0.0362354177811875,0.0422496558502532,0.0477006239925904,0.0647855232699408,0.0761817281442844,0.0885555222727615,-0.394231176103359,-0.331548686653908,-0.279916073033465,0.199976291677216,0.223377240448672,0.24563057289931,-1.1353038933016,-1.06278019796938,-1.00908403024664,0.0877206940690814,0.0996062066679257,0.108830698930947,47,50,53,100
"125",0.1,83,"highUnequal",0.297503,0.30358,0.310606,0.349011333333333,0.352193333333333,0.355304,0.0379151826180389,0.0439369257601602,0.0494708170524761,0.0674990620082576,0.079829038796701,0.0914030794092907,-0.397267419020447,-0.335273103560696,-0.282885767901081,0.200158007339251,0.224179381638235,0.24496643334509,-1.13490263136459,-1.06275187104203,-1.00859485071424,0.0874276087084641,0.0995426225212888,0.108646740542788,47,50,53,100
"126",0.1,84,"highUnequal",0.298625,0.30488,0.311553,0.350375,0.353526666666667,0.356554333333333,0.0397723079017404,0.0454736652109042,0.0509429875719046,0.070421575488362,0.0828826997178259,0.0952893269984643,-0.40115313190134,-0.338567490477191,-0.289842858455837,0.200319024302001,0.224250920963728,0.246359733520318,-1.13252090750685,-1.06219977418463,-1.00717290422485,0.0874060200781615,0.0994329126407122,0.108825426358398,47,50,53,100
"127",0.1,85,"highUnequal",0.29953,0.30568,0.312503,0.351724333333333,0.35488,0.357979333333333,0.0414156498746506,0.0470181769546425,0.0523837052758303,0.0732306162482891,0.0855280424617093,0.0989130408376571,-0.407333797782748,-0.34260708559566,-0.296060100532189,0.200454508224816,0.224616259490466,0.247778138533781,-1.12968770087141,-1.06126820794649,-1.00815662409426,0.0873692201243872,0.0992876370823003,0.109041498724659,47,50,53,100
"128",0.1,86,"highUnequal",0.300597,0.30684,0.313935,0.353076666666667,0.356226666666666,0.3591,0.0429286304153213,0.048471341137329,0.054000976642541,0.0761095547514002,0.0884653522700942,0.101458559382432,-0.41031209716089,-0.346903343374625,-0.296483172426001,0.200571247104228,0.224951200115441,0.247892059717631,-1.12764639163637,-1.0607694579503,-1.00780564827541,0.0872168182380344,0.0993919674959451,0.109098804694834,47,50,53,100
"129",0.1,87,"highUnequal",0.301755,0.30768,0.315171,0.354231666666667,0.357553333333334,0.360371333333333,0.0444742587620916,0.0497934309349513,0.0554198017052374,0.0793772498678349,0.0919143743248714,0.105002201257861,-0.413859062190408,-0.350975961610672,-0.298626434551971,0.200458860922609,0.225164224362956,0.247829984675858,-1.12647796115997,-1.06030183191998,-1.00774405737064,0.0871720935685296,0.0994199226819681,0.109151202964981,47,50,53,100
"130",0.1,88,"highUnequal",0.302917,0.30898,0.315936,0.355690666666667,0.35894,0.361839,0.0458406455206637,0.051193054871879,0.05698309508028,0.0824534756112689,0.0947235920914173,0.107204615565286,-0.418319457683471,-0.355580035911877,-0.303455091431568,0.200354368802242,0.225416422491531,0.248308989990794,-1.12541585128769,-1.05975513677555,-1.00786069972493,0.0870437066290378,0.0995371058159105,0.109239529803677,47,50,53,100
"131",0.1,89,"highUnequal",0.304361,0.3101,0.317258,0.357051,0.36034,0.363187,0.0473602812459535,0.0528122034098749,0.0584882025226311,0.0847514347361702,0.09757953867356,0.110531496868339,-0.422314149076825,-0.361018807675876,-0.309479854661252,0.200959669759781,0.224853747404102,0.247618663948417,-1.12494507574058,-1.05975452431415,-1.00760648154402,0.0871479095112264,0.0994775302416397,0.109157349536783,47,50,53,100
"132",0.1,90,"highUnequal",0.305593,0.31126,0.318349,0.358273333333333,0.36174,0.364627,0.0491398333750078,0.0543333284469229,0.0597600728419891,0.0874311534315815,0.100542706736941,0.113014436367066,-0.423226007005042,-0.363787607711329,-0.311912591908329,0.200812982524082,0.224936393020622,0.247322897914715,-1.12479710525543,-1.05904709079499,-1.00770018218871,0.0870261377167555,0.0995517809245102,0.109137089894882,47,50,53,100
"133",0.1,91,"highUnequal",0.306637,0.31238,0.31913,0.359623,0.363033333333333,0.365944666666667,0.0505703078792487,0.0559857693493447,0.0611752639511469,0.090656961836649,0.103989545231289,0.116000825321984,-0.429038418782285,-0.367629465842543,-0.313952991563033,0.200204177505862,0.225360750430291,0.247240799478894,-1.1246802945984,-1.05895892874383,-1.00761980600092,0.0869348854392087,0.0995955734350576,0.109106081994721,47,50,53,100
