VE_susc,t,Label_testingDiff,Covid_cumPropSymptInfect_unvac.2.5.,Covid_cumPropSymptInfect_unvac.50.,Covid_cumPropSymptInfect_unvac.97.5.,Covid_cumPropSymptInfect_vac.2.5.,Covid_cumPropSymptInfect_vac.50.,Covid_cumPropSymptInfect_vac.97.5.,NonCovid_cumPropSymptInfect_unvac.2.5.,NonCovid_cumPropSymptInfect_unvac.50.,NonCovid_cumPropSymptInfect_unvac.97.5.,NonCovid_cumPropSymptInfect_vac.2.5.,NonCovid_cumPropSymptInfect_vac.50.,NonCovid_cumPropSymptInfect_vac.97.5.,CumProp_falseNeg_vac.2.5.,CumProp_falseNeg_vac.50.,CumProp_falseNeg_vac.97.5.,CumProp_falseNeg_unvac.2.5.,CumProp_falseNeg_unvac.50.,CumProp_falseNeg_unvac.97.5.,VE_symptOR_observed.2.5.,VE_symptOR_observed.50.,VE_symptOR_observed.97.5.,VE_symptOR.2.5.,VE_symptOR.50.,VE_symptOR.97.5.,VE_symptRR_observed.2.5.,VE_symptRR_observed.50.,VE_symptRR_observed.97.5.,VE_symptRR.2.5.,VE_symptRR.50.,VE_symptRR.97.5.,t_highChange.2.5.,t_highChange.50.,t_highChange.97.5.,totalNum_sims
0.55,52,equal,0.012238,0.0264,0.044271,0.005502,0.011766667,0.019621,0.607702,0.62188,0.632753,0.625711333,0.63094,0.635468667,0.000113787,0.000340832,0.00065907,0.000112915,0.00078436,0.001678063,0.468855138,0.558285698,0.614643881,0.497219762,0.554326254,0.593284021,0.463478047,0.551286853,0.608891453,0.496265216,0.547405303,0.587469876,65,73,80,100
0.55,53,equal,0.013535,0.02916,0.048738,0.006048,0.012806667,0.02151,0.61146,0.6262,0.637661,0.630887,0.636606667,0.64164,0.000112636,0.000373706,0.000709392,0.000111436,0.000783699,0.001653429,0.465214971,0.55863476,0.610868721,0.503893715,0.560098657,0.590089321,0.459055805,0.552975157,0.606041127,0.500738247,0.551659116,0.582759662,65,73,80,100
0.55,54,equal,0.015053,0.03174,0.053243,0.006737,0.014053333,0.023522667,0.615057,0.63006,0.642368,0.635591333,0.641693333,0.647254,0.0001475,0.000405739,0.00073756,0.00016109,0.000874655,0.001744379,0.476081909,0.560640599,0.605380317,0.51319339,0.560007591,0.59232506,0.472738379,0.552756157,0.59858474,0.509716144,0.551606603,0.582779285,65,73,80,100
0.55,55,equal,0.0166,0.03474,0.058313,0.007455667,0.01544,0.025693333,0.617708,0.63422,0.647006,0.640057333,0.646986667,0.652647,0.000163021,0.00043767,0.00081446,0.000161285,0.000973921,0.001825556,0.489726502,0.560119737,0.598716869,0.514305075,0.559592691,0.593089677,0.488409133,0.550747688,0.593331873,0.507680087,0.551586421,0.585293394,65,73,80,100
0.55,56,equal,0.018238,0.03802,0.063681,0.008221333,0.01706,0.028041,0.62024,0.63778,0.652107,0.644484333,0.65186,0.658101,0.00018138,0.000499688,0.000875982,0.000266065,0.001164638,0.002218832,0.497617906,0.558557587,0.599612151,0.515782996,0.562274889,0.594873401,0.494713371,0.549159368,0.592074833,0.51040462,0.551904952,0.584990427,65,73,80,100
0.55,57,equal,0.019834,0.042,0.06966,0.009203667,0.018826667,0.030720667,0.622199,0.64126,0.656623,0.648356667,0.656246667,0.663375333,0.000195726,0.000565523,0.000969453,0.000318016,0.001256282,0.002224353,0.505682217,0.560234221,0.597139206,0.51688251,0.561418881,0.598433418,0.499491087,0.550875451,0.590456564,0.510535953,0.550761094,0.587249469,65,73,80,100
0.55,58,equal,0.021798,0.04618,0.075263,0.010088,0.020753333,0.033855333,0.622778,0.64378,0.661302,0.652082,0.660686667,0.668448333,0.000211309,0.000595332,0.001083432,0.000418737,0.001348128,0.002517902,0.505475832,0.561450727,0.59658312,0.519123797,0.565626576,0.593066114,0.50078872,0.550350601,0.588605511,0.511074592,0.550883452,0.582131464,65,73,80,100
0.55,59,equal,0.024523,0.05066,0.082264,0.011223333,0.02278,0.036999,0.623573,0.6461,0.665181,0.655550667,0.66498,0.673547667,0.000259461,0.000655355,0.001191667,0.000413916,0.001430834,0.002636137,0.501130887,0.562338463,0.597487342,0.516267192,0.563154476,0.594456502,0.497345679,0.54989002,0.589573187,0.507714128,0.550661158,0.582221578,65,73,80,100
0.55,60,equal,0.026834,0.05522,0.09032,0.012372667,0.02496,0.040276333,0.623185,0.64806,0.669403,0.658813667,0.66876,0.678351333,0.000274604,0.000749883,0.00137887,0.000510915,0.001516378,0.002919353,0.512187345,0.562642734,0.599062,0.520739715,0.566361406,0.594317839,0.505355891,0.55137248,0.589306703,0.511238069,0.551115361,0.579360988,65,73,80,100
0.55,61,equal,0.029843,0.06054,0.098676,0.013716667,0.027293333,0.043800333,0.622685,0.65014,0.672827,0.661608667,0.672513333,0.682989667,0.000305466,0.000809131,0.001513716,0.0005054,0.001642269,0.003165328,0.513370319,0.563964808,0.600491253,0.522550131,0.56845019,0.593674715,0.505959969,0.548100479,0.591031507,0.511293292,0.55021059,0.576859889,65,73,80,100
