,V1,Covid_infect_unvac,Covid_infect_vac,Covid_infect,Covid_propInfect_unvac,Covid_propInfect_vac,Covid_propInfect,Covid_cumInfect_unvac,Covid_cumInfect_vac,Covid_symptInfect_unvac,Covid_symptInfect_vac,Covid_symptInfect,Covid_propSymptInfect_unvac,Covid_propSymptInfect_vac,Covid_propSymptInfect,NonCovid_symptInfect_unvac,NonCovid_symptInfect_vac,NonCovid_symptInfect,NonCovid_propSymptInfect_unvac,NonCovid_propSymptInfect_vac,NonCovid_propSymptInfect,CoInfect_unvac,CoInfect_vac,Sympt_coInfect_unvac,Sympt_coInfect_vac,NeverInfect_unvac,NeverInfect_vac,Covid_cumSymptInfect_unvac,Covid_cumSymptInfect_vac,Covid_cumSymptInfect,Covid_cumPropSymptInfect_unvac,Covid_cumPropSymptInfect_vac,Covid_cumPropSymptInfect,NonCovid_cumSymptInfect_covidSusc_unvac,NonCovid_cumSymptInfect_covidSusc_vac,NonCovid_cumSymptInfect_unvac,NonCovid_cumSymptInfect_vac,NonCovid_cumSymptInfect,NonCovid_cumPropSymptInfect_unvac,NonCovid_cumPropSymptInfect_vac,NonCovid_cumPropSymptInfect,Covid_cumSymptExpInfect_tested_unvac,Covid_cumSymptExpInfect_tested_vac,Covid_cumSymptExpInfect_tested,Covid_cumPropSymptExpInfect_tested_unvac,Covid_cumPropSymptExpInfect_tested_vac,Covid_cumPropSymptExpInfect_tested,NonCovid_cumSymptInfect_tested_unvac,NonCovid_cumSymptInfect_tested_vac,NonCovid_cumSymptInfect_tested,NonCovid_cumPropSymptInfect_tested_unvac,NonCovid_cumPropSymptInfect_tested_vac,NonCovid_cumPropSymptInfect_tested,EverTested_unvac,EverTested_vac,CumNum_falsePos_unvac,CumNum_falsePos_vac,CumProp_falsePos_unvac,CumProp_falsePos_vac,CumNum_falseNeg_unvac,CumNum_falseNeg_vac,CumProp_falseNeg_unvac,CumProp_falseNeg_vac,CumNum_misclass_unvac,CumNum_misclass_vac,CumProp_misclass_unvac,CumProp_misclass_vac,VE_symptRR,VE_symptOR,VE_symptSuscOR,VE_symptRR_observed,VE_symptOR_observed,Label_veSusc,Label_veInfect,Label_veJoint,t,TestedStarted_bin,Label_testingDiff,VE_symptRR_degUnder_highChange_trueVeff,VE_symptOR_degUnder_highChange_trueVeff,VE_symptRR_degUnder_highChange_targEst,VE_symptOR_degUnder_highChange_targEst,VE_symptRR_degUnder_peak_trueVeff,VE_symptOR_degUnder_peak_trueVeff,VE_symptRR_degUnder_peak_targEst,VE_symptOR_degUnder_peak_targEst,Covid_cumPropSymptInfect_highChange,Covid_cumPropSymptInfect_peak,Covid_cumPropSymptInfect_final,t_highChange,t_peak,t_end,VE_susc,VE_infect,Covid_probTrans,NonCovid_propSympt,Epi_simNum,Seed_num,Avg_numContacts
34478,50,10575,28110,38685,0.423,0.3748,0.38685,13026,34737,4102,10799,14901,0.16408,0.143986667,0.14901,1273,3727,5000,0.05092,0.049693333,0.05,534,1426,193,560,8917,30340,5694,15126,20820,0.22776,0.20168,0.2082,3056,9914,4902,14733,19635,0.19608,0.19644,0.19635,2251,6054,8305,0.09004,0.08072,0.08305,2606,7894,10500,0.10424,0.105253333,0.105,4857,13948,154,352,0.031706815,0.025236593,11,34,0.002264772,0.002437625,165,386,0.033971587,0.027674219,0.114506498,0.116129272,0.181137339,0.103509551,0.112140572,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,-0.003509551,-0.012140572,0.010996947,0.0039887,-0.01581982,-0.07029367,-0.021749106,-0.032587456,0.2082,0.3852,0.57414,49,56,1234,0.1,0.2,0.1,0.05,78,755276699,6.00526
34931,50,9407,25255,34662,0.37628,0.336733333,0.34662,11453,30660,3530,9486,13016,0.1412,0.12648,0.13016,1291,3709,5000,0.05164,0.049453333,0.05,502,1279,189,452,10122,33269,4865,13061,17926,0.1946,0.174146667,0.17926,3424,11062,5113,15455,20568,0.20452,0.206066667,0.20568,1975,5174,7149,0.079,0.068986667,0.07149,2663,8131,10794,0.10652,0.108413333,0.10794,4638,13305,145,350,0.031263476,0.0263059,6,24,0.001293661,0.001803833,151,374,0.032557137,0.028109733,0.105104488,0.111821271,0.169014039,0.126751055,0.142001498,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,-0.026751055,-0.042001498,-0.021646567,-0.030180227,-0.008702065,-0.029872185,-0.023088239,-0.013889756,0.17926,0.37615,0.5695,49,57,119,0.1,0.2,0.1,0.05,79,875437540,6.00514
35384,50,8081,22052,30133,0.32324,0.294026667,0.30133,9612,26164,2803,7954,10757,0.11212,0.106053333,0.10757,1229,3771,5000,0.04916,0.05028,0.05,419,1141,152,414,11516,36631,3794,10610,14404,0.15176,0.141466667,0.14404,3871,12196,5301,16118,21419,0.21204,0.214906667,0.21419,1489,4186,5675,0.05956,0.055813333,0.05675,2744,8426,11170,0.10976,0.112346667,0.1117,4233,12612,111,289,0.026222537,0.022914684,9,27,0.002126152,0.002140818,120,316,0.028348689,0.025055503,0.067826393,0.080260772,0.112386676,0.062905753,0.084481386,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.037094247,0.015518614,0.004920639,-0.004220614,0.021491228,-0.018557921,0.008716213,0.010378444,0.14404,0.38344,0.56923,49,59,135,0.1,0.2,0.1,0.05,8,14660146,6.00546
35835,48,9393,25395,34788,0.37572,0.3386,0.34788,11330,30633,3558,9452,13010,0.14232,0.126026667,0.1301,1270,3730,5000,0.0508,0.049733333,0.05,444,1263,171,473,10308,33563,4780,12855,17635,0.1912,0.1714,0.17635,3357,10799,4956,15049,20005,0.19824,0.200653333,0.20005,1888,5077,6965,0.07552,0.067693333,0.06965,2562,7840,10402,0.10248,0.104533333,0.10402,4450,12917,126,369,0.028314607,0.028567005,5,19,0.001123596,0.00147093,131,388,0.029438202,0.030037935,0.103556485,0.11433835,0.163989014,0.103637006,0.121244136,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,47,TRUE,equal,-0.003637006,-0.021244136,-8.05E-05,-0.006905786,-0.004806409,-0.055270753,0.008620419,0.011684253,0.17635,0.37578,0.57251,47,55,130,0.1,0.2,0.1,0.05,80,91547773,6.00496
36293,53,9851,26537,36388,0.39404,0.353826667,0.36388,12058,32430,3797,10102,13899,0.15188,0.134693333,0.13899,1234,3766,5000,0.04936,0.050213333,0.05,480,1337,204,526,9521,31424,5269,13885,19154,0.21076,0.185133333,0.19154,3419,11138,5134,15984,21118,0.20536,0.21312,0.21118,2108,5557,7665,0.08432,0.074093333,0.07665,2793,8503,11296,0.11172,0.113373333,0.11296,4901,14060,130,396,0.026525199,0.028165007,12,21,0.00244848,0.001493599,142,417,0.028973679,0.029658606,0.1215917,0.153575786,0.19107255,0.121283997,0.134098391,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,equal,-0.021283997,-0.034098391,0.000307702,0.019477395,-0.001871102,-0.033693234,0.003365605,0.033922505,0.19154,0.36655,0.57337,52,59,129,0.1,0.2,0.1,0.05,81,692752978,6.00464
36747,54,10420,28108,38528,0.4168,0.374773333,0.38528,12910,34758,4110,10840,14950,0.1644,0.144533333,0.1495,1235,3765,5000,0.0494,0.0502,0.05,538,1414,214,536,8975,29508,5739,15182,20921,0.22956,0.202426667,0.20921,3112,10727,5051,15954,21005,0.20204,0.21272,0.21005,2297,6021,8318,0.09188,0.08028,0.08318,2707,8590,11297,0.10828,0.114533333,0.11297,5004,14611,155,380,0.03097522,0.026007802,10,16,0.001998401,0.001095065,165,396,0.032973621,0.027102868,0.118197131,0.16246967,0.232542968,0.126251633,0.173956869,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,53,TRUE,equal,-0.026251633,-0.073956869,-0.008054502,-0.011487199,-0.013984055,-0.093569658,-0.003245051,-0.004441855,0.20921,0.38332,0.5716,53,60,124,0.1,0.2,0.1,0.05,82,542761467,6.0048
37197,51,9878,26633,36511,0.39512,0.355106667,0.36511,12067,32392,3789,10089,13878,0.15156,0.13452,0.13878,1233,3767,5000,0.04932,0.050226667,0.05,488,1307,186,479,9701,31783,5173,13841,19014,0.20692,0.184546667,0.19014,3231,10816,5029,15617,20646,0.20116,0.208226667,0.20646,2066,5519,7585,0.08264,0.073586667,0.07585,2709,8311,11020,0.10836,0.110813333,0.1102,4775,13830,137,385,0.028691099,0.027838033,5,25,0.00104712,0.001807664,142,410,0.02973822,0.029645698,0.108125524,0.138393403,0.200726766,0.109551468,0.129265405,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,-0.009551468,-0.029265405,-0.001425945,0.009127998,-0.00760126,-0.054062437,-0.012179345,-0.010049693,0.19014,0.36558,0.57083,50,57,128,0.1,0.2,0.1,0.05,83,579509887,6.00524
37652,53,10169,27171,37340,0.40676,0.36228,0.3734,12429,33272,3823,10434,14257,0.15292,0.13912,0.14257,1250,3750,5000,0.05,0.05,0.05,509,1327,199,480,9339,30770,5267,14392,19659,0.21068,0.191893333,0.19659,3230,10950,5110,15956,21066,0.2044,0.212746667,0.21066,2102,5847,7949,0.08408,0.07796,0.07949,2724,8477,11201,0.10896,0.113026667,0.11201,4826,14324,139,380,0.028802321,0.026528903,9,23,0.001864898,0.001605697,148,403,0.030667219,0.028134599,0.089171571,0.124906003,0.193979226,0.072787821,0.106148646,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,equal,0.027212179,-0.006148646,0.01638375,0.018757357,-0.002931305,-0.052179453,-0.005732453,0.013682413,0.19659,0.37466,0.57383,52,59,129,0.1,0.2,0.1,0.05,84,981536406,6.00514
38104,52,9269,24871,34140,0.37076,0.331613333,0.3414,11221,29949,3417,9248,12665,0.13668,0.123306667,0.12665,1240,3760,5000,0.0496,0.050133333,0.05,470,1236,179,482,10255,33380,4651,12484,17135,0.18604,0.166453333,0.17135,3522,11663,5228,16124,21352,0.20912,0.214986667,0.21352,1858,4896,6754,0.07432,0.06528,0.06754,2785,8598,11383,0.1114,0.11464,0.11383,4643,13494,108,346,0.023260823,0.025641026,7,19,0.001507646,0.001408033,115,365,0.024768469,0.027049059,0.105282018,0.129697542,0.189437521,0.121636168,0.146460826,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,equal,-0.021636168,-0.046460826,-0.01635415,-0.016763284,-0.003838845,-0.058158472,-0.007695371,-0.009371436,0.17135,0.367,0.56817,51,59,132,0.1,0.2,0.1,0.05,85,823342670,6.0049
38556,51,10146,27271,37417,0.40584,0.363613333,0.37417,12437,33420,3987,10530,14517,0.15948,0.1404,0.14517,1258,3742,5000,0.05032,0.049893333,0.05,528,1314,232,511,9358,30985,5473,14510,19983,0.21892,0.193466667,0.19983,3202,10588,4969,15399,20368,0.19876,0.20532,0.20368,2173,5809,7982,0.08692,0.077453333,0.07982,2629,8028,10657,0.10516,0.10704,0.10657,4802,13837,139,396,0.028946272,0.02861892,11,27,0.002290712,0.00195129,150,423,0.031236985,0.03057021,0.116267739,0.144503096,0.198230818,0.10891241,0.124563051,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,-0.00891241,-0.024563051,0.007355329,0.019940045,0.00328849,-0.032683175,0.010355223,0.046187117,0.19983,0.37395,0.57296,50,57,138,0.1,0.2,0.1,0.05,86,960308661,6.00492
39009,51,9020,24045,33065,0.3608,0.3206,0.33065,10876,29095,3320,8906,12226,0.1328,0.118746667,0.12226,1252,3748,5000,0.05008,0.049973333,0.05,453,1237,155,439,10550,34241,4537,12173,16710,0.18148,0.162306667,0.1671,3573,11655,5205,15918,21123,0.2082,0.21224,0.21123,1826,4800,6626,0.07304,0.064,0.06626,2756,8509,11265,0.11024,0.113453333,0.11265,4582,13309,139,350,0.030336098,0.026297994,8,26,0.001745962,0.001953565,147,376,0.03208206,0.028251559,0.105649842,0.122673846,0.177474102,0.123767798,0.148585281,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,-0.023767798,-0.048585281,-0.018117956,-0.025911435,-0.01554542,-0.062060181,-0.008534598,-0.005283239,0.1671,0.36488,0.57541,50,58,1234,0.1,0.2,0.1,0.05,87,125587139,6.00464
39462,51,10345,27935,38280,0.4138,0.372466667,0.3828,12742,34426,4068,10759,14827,0.16272,0.143453333,0.14827,1264,3736,5000,0.05056,0.049813333,0.05,547,1422,208,539,9163,30363,5595,14922,20517,0.2238,0.19896,0.20517,3093,10203,4993,15110,20103,0.19972,0.201466667,0.20103,2263,6087,8350,0.09052,0.08116,0.0835,2702,8105,10807,0.10808,0.108066667,0.10807,4965,14192,155,416,0.03121853,0.029312289,12,30,0.002416918,0.002113867,167,446,0.033635448,0.031426156,0.110991957,0.118699439,0.191501947,0.103402563,0.10329194,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,-0.003402563,-0.00329194,0.007589394,0.015407499,0.00937821,-0.012478398,0.013723049,0.033439741,0.20517,0.35782,0.57192,50,56,142,0.1,0.2,0.1,0.05,88,380436773,6.00504
39913,49,9020,24544,33564,0.3608,0.327253333,0.33564,10834,29474,3351,9133,12484,0.13404,0.121773333,0.12484,1248,3752,5000,0.04992,0.050026667,0.05,426,1311,165,489,10675,34423,4539,12406,16945,0.18156,0.165413333,0.16945,3487,11097,5017,15347,20364,0.20068,0.204626667,0.20364,1785,5016,6801,0.0714,0.06688,0.06801,2703,8066,10769,0.10812,0.107546667,0.10769,4488,13082,122,327,0.027183601,0.024996178,10,21,0.002228164,0.001605259,132,348,0.029411765,0.026601437,0.088932951,0.106504845,0.141148743,0.063305322,0.058311785,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,48,TRUE,equal,0.036694678,0.041688215,0.025627629,0.04819306,0.022382952,0.015105526,0.008468018,0.035034156,0.16945,0.36714,0.57562,48,56,119,0.1,0.2,0.1,0.05,89,269588432,6.00506
40367,50,9594,25577,35171,0.38376,0.341026667,0.35171,11617,31066,3645,9587,13232,0.1458,0.127826667,0.13232,1258,3742,5000,0.05032,0.049893333,0.05,491,1240,166,464,10111,32947,4957,13181,18138,0.19828,0.175746667,0.18138,3270,10979,4905,15462,20367,0.1962,0.20616,0.20367,1982,5289,7271,0.07928,0.07052,0.07271,2642,8176,10818,0.10568,0.109013333,0.10818,4624,13465,138,405,0.029844291,0.03007798,9,33,0.001946367,0.002450798,147,438,0.031790657,0.032528778,0.113644005,0.156465628,0.208019646,0.11049445,0.137693128,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,-0.01049445,-0.037693128,0.003149555,0.0187725,-0.006020942,-0.057318707,-0.000618074,0.028262868,0.18138,0.37932,0.57436,49,57,126,0.1,0.2,0.1,0.05,9,543028737,6.00526
40821,51,9529,25884,35413,0.38116,0.34512,0.35413,11605,31515,3576,9717,13293,0.14304,0.12956,0.13293,1176,3824,5000,0.04704,0.050986667,0.05,448,1319,182,523,10035,32302,4953,13405,18358,0.19812,0.178733333,0.18358,3359,11174,5072,15691,20763,0.20288,0.209213333,0.20763,1972,5405,7377,0.07888,0.072066667,0.07377,2695,8321,11016,0.1078,0.110946667,0.11016,4667,13726,118,338,0.025283908,0.0246248,7,29,0.001499893,0.002112779,125,367,0.026783801,0.026737578,0.097853153,0.12516306,0.186420818,0.08637593,0.112288113,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,0.01362407,-0.012288113,0.011477223,0.012874947,0.002562882,-0.056974762,0.01360549,0.010205763,0.18358,0.35686,0.57146,50,57,129,0.1,0.2,0.1,0.05,90,960256338,6.00532
41273,50,9720,26856,36576,0.3888,0.35808,0.36576,11867,32540,3700,10173,13873,0.148,0.13564,0.13873,1264,3736,5000,0.05056,0.049813333,0.05,515,1335,203,487,9832,31913,5080,13846,18926,0.2032,0.184613333,0.18926,3299,10539,4937,15260,20197,0.19748,0.203466667,0.20197,2021,5503,7524,0.08084,0.073373333,0.07524,2652,8096,10748,0.10608,0.107946667,0.10748,4673,13599,125,388,0.026749412,0.02853151,9,19,0.001925958,0.001397162,134,407,0.028675369,0.029928671,0.091469816,0.118201799,0.146814382,0.092363516,0.108058811,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.007636484,-0.008058811,-0.0008937,0.010142987,0.038481154,0.0132686,0.016523892,0.044207138,0.18926,0.3648,0.57205,49,56,121,0.1,0.2,0.1,0.05,91,980183563,6.00482
41730,54,10482,28133,38615,0.41928,0.375106667,0.38615,12931,34761,4155,11081,15236,0.1662,0.147746667,0.15236,1253,3747,5000,0.05012,0.04996,0.05,543,1423,210,562,8851,29699,5744,15354,21098,0.22976,0.20472,0.21098,3216,10532,5178,15690,20868,0.20712,0.2092,0.20868,2333,6235,8568,0.09332,0.083133333,0.08568,2847,8450,11297,0.11388,0.112666667,0.11297,5180,14685,145,406,0.027992278,0.027647259,11,31,0.002123552,0.002110998,156,437,0.03011583,0.029758257,0.108983287,0.117842344,0.183770485,0.109158451,0.099564773,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,53,TRUE,equal,-0.009158451,0.000435227,-0.000175164,0.018277571,-0.011111111,-0.039696776,-0.002350833,0.021992162,0.21098,0.38721,0.57465,53,60,1234,0.1,0.2,0.1,0.05,92,291773768,6.00512
42181,52,10346,27894,38240,0.41384,0.37192,0.3824,12697,34364,3976,10723,14699,0.15904,0.142973333,0.14699,1220,3780,5000,0.0488,0.0504,0.05,521,1392,205,538,9121,30116,5513,14959,20472,0.22052,0.199453333,0.20472,3179,10513,5018,15560,20578,0.20072,0.207466667,0.20578,2224,6082,8306,0.08896,0.081093333,0.08306,2679,8369,11048,0.10716,0.111586667,0.11048,4903,14451,138,413,0.028146033,0.028579337,7,28,0.001427697,0.001937582,145,441,0.02957373,0.030516919,0.095531773,0.124944429,0.179500288,0.088429257,0.124591461,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,equal,0.011570743,-0.024591461,0.007102517,0.000352968,0.016298911,-0.023483207,0.007797072,0.018281115,0.20472,0.38138,0.57223,51,58,127,0.1,0.2,0.1,0.05,93,645233172,6.00518
42631,49,10088,26920,37008,0.40352,0.358933333,0.37008,12255,32868,3854,10325,14179,0.15416,0.137666667,0.14179,1310,3690,5000,0.0524,0.0492,0.05,536,1298,215,476,9537,31746,5266,14221,19487,0.21064,0.189613333,0.19487,3204,10380,4986,14850,19836,0.19944,0.198,0.19836,2140,5691,7831,0.0856,0.07588,0.07831,2614,7817,10431,0.10456,0.104226667,0.10431,4754,13508,132,351,0.027766092,0.025984602,10,27,0.002103492,0.001998816,142,378,0.029869584,0.027983417,0.099822762,0.093276019,0.166425471,0.113551402,0.110716399,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,48,TRUE,equal,-0.013551402,-0.010716399,-0.013728639,-0.01744038,-0.023868404,-0.044319093,-0.020248178,-0.014001698,0.19487,0.36991,0.57217,48,55,134,0.1,0.2,0.1,0.05,94,797925185,6.0047
43090,55,9290,24824,34114,0.3716,0.330986667,0.34114,11196,30042,3383,9363,12746,0.13532,0.12484,0.12746,1273,3727,5000,0.05092,0.049693333,0.05,448,1223,159,474,10086,32831,4600,12780,17380,0.184,0.1704,0.1738,3714,12121,5461,16807,22268,0.21844,0.224093333,0.22268,1826,5094,6920,0.07304,0.06792,0.0692,2964,8953,11917,0.11856,0.119373333,0.11917,4790,14047,121,343,0.02526096,0.024418025,3,29,0.000626305,0.002064498,124,372,0.025887265,0.026482523,0.073913043,0.09727598,0.148712081,0.070098576,0.076434328,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,54,TRUE,equal,0.029901424,0.023565672,0.003814467,0.020841652,0.003272123,-0.035046528,0.000374733,0.022808751,0.1738,0.37035,0.57319,54,62,130,0.1,0.2,0.1,0.05,95,309009153,6.0047
43539,51,10481,28404,38885,0.41924,0.37872,0.38885,12926,34977,4012,11101,15113,0.16048,0.148013333,0.15113,1315,3685,5000,0.0526,0.049133333,0.05,551,1414,216,554,9024,29846,5606,15352,20958,0.22424,0.204693333,0.20958,3047,10170,4918,15202,20120,0.19672,0.202693333,0.2012,2297,6163,8460,0.09188,0.082173333,0.0846,2582,8162,10744,0.10328,0.108826667,0.10744,4879,14325,143,391,0.029309285,0.027294939,13,28,0.00266448,0.001954625,156,419,0.031973765,0.029249564,0.08716851,0.114069477,0.179528746,0.105645044,0.151228438,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,50,TRUE,equal,-0.005645044,-0.051228438,-0.018476534,-0.037158961,0.007727041,-0.052449752,-0.003308668,-0.00621094,0.20958,0.38507,0.57177,50,57,1234,0.1,0.2,0.1,0.05,96,204978421,6.0048
43991,50,9508,25551,35059,0.38032,0.34068,0.35059,11506,31096,3586,9581,13167,0.14344,0.127746667,0.13167,1235,3765,5000,0.0494,0.0502,0.05,478,1301,181,505,10089,32965,4827,13167,17994,0.19308,0.17556,0.17994,3403,10931,4994,15520,20514,0.19976,0.206933333,0.20514,1955,5257,7212,0.0782,0.070093333,0.07212,2650,8209,10859,0.106,0.109453333,0.10859,4605,13466,131,361,0.02844734,0.026808258,8,21,0.001737242,0.001559483,139,382,0.030184582,0.028367741,0.09073959,0.122259055,0.15079686,0.103665814,0.131945818,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,-0.003665814,-0.031945818,-0.012926224,-0.009686763,0.009326809,-0.041815356,0.017105234,0.034503181,0.17994,0.37877,0.57367,49,57,1234,0.1,0.2,0.1,0.05,97,928400952,6.00544
44444,50,10056,27139,37195,0.40224,0.361853333,0.37195,12230,33045,3740,10397,14137,0.1496,0.138626667,0.14137,1252,3748,5000,0.05008,0.049973333,0.05,495,1391,163,536,9558,31436,5129,14253,19382,0.20516,0.19004,0.19382,3209,10512,5012,15223,20235,0.20048,0.202973333,0.20235,2103,5669,7772,0.08412,0.075586667,0.07772,2634,8082,10716,0.10536,0.10776,0.10716,4737,13751,145,367,0.030610091,0.026688968,9,21,0.001899937,0.001527162,154,388,0.032510027,0.02821613,0.073698577,0.085077304,0.151683428,0.101442384,0.121454803,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,-0.001442384,-0.021454803,-0.027743807,-0.036377499,0.013050169,-0.039988098,2.87E-05,-0.004265933,0.19382,0.36927,0.57116,49,56,120,0.1,0.2,0.1,0.05,98,703188754,6.00496
44897,50,9513,25643,35156,0.38052,0.341906667,0.35156,11517,31002,3611,9626,13237,0.14444,0.128346667,0.13237,1304,3696,5000,0.05216,0.04928,0.05,515,1257,181,466,10018,33028,4917,13110,18027,0.19668,0.1748,0.18027,3464,10961,5157,15379,20536,0.20628,0.205053333,0.20536,1972,5191,7163,0.07888,0.069213333,0.07163,2712,8104,10816,0.10848,0.108053333,0.10816,4684,13295,165,338,0.035226302,0.025423091,5,19,0.001067464,0.001429109,170,357,0.036293766,0.0268522,0.111246695,0.10593001,0.157383054,0.12254902,0.119084258,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,-0.02254902,-0.019084258,-0.011302324,-0.013154248,-0.007273794,-0.019985908,0.000788011,0.018797539,0.18027,0.37905,0.57227,49,57,123,0.1,0.2,0.1,0.05,99,50079704,6.00486
45350,50,9021,24482,33503,0.36084,0.326426667,0.33503,10836,29427,3346,9070,12416,0.13384,0.120933333,0.12416,2441,7559,10000,0.09764,0.100786667,0.1,842,2503,303,901,7647,24978,4512,12310,16822,0.18048,0.164133333,0.16822,6513,20589,9346,28377,37723,0.37384,0.37836,0.37723,1955,5416,7371,0.0782,0.072213333,0.07371,5126,15287,20413,0.20504,0.203826667,0.20413,7081,20703,229,692,0.032340065,0.033425107,13,36,0.001835899,0.001738878,242,728,0.034175964,0.035163986,0.090573286,0.101437565,0.136952326,0.07655584,0.071058789,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.02344416,0.028941211,0.014017446,0.030378777,0.02044288,-0.010293045,0.009980891,0.027468588,0.16822,0.36534,0.57185,49,57,1234,0.1,0.2,0.1,0.1,1,995373717,6.00532
45803,50,9273,25048,34321,0.37092,0.333973333,0.34321,11212,30165,3497,9309,12806,0.13988,0.12412,0.12806,2463,7537,10000,0.09852,0.100493333,0.1,915,2555,351,931,7459,24554,4746,12596,17342,0.18984,0.167946667,0.17342,6328,20272,9314,28168,37482,0.37256,0.375573333,0.37482,2020,5498,7518,0.0808,0.073306667,0.07518,5024,15207,20231,0.20096,0.20276,0.20231,7044,20705,241,722,0.034213515,0.034870804,18,32,0.002555366,0.00154552,259,754,0.036768881,0.036416325,0.115325186,0.122423188,0.171533807,0.092739274,0.100793473,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,49,TRUE,equal,0.007260726,-0.000793473,0.022585912,0.021629715,0.011537096,-0.024932245,0.014243367,0.01819947,0.17342,0.37288,0.57092,49,57,116,0.1,0.2,0.1,0.1,10,806428630,6.00494
46259,53,9659,26399,36058,0.38636,0.351986667,0.36058,11872,32224,3716,10032,13748,0.14864,0.13376,0.13748,2429,7571,10000,0.09716,0.100946667,0.1,952,2650,374,982,7061,22747,5171,13846,19017,0.20684,0.184613333,0.19017,6064,20022,9188,28726,37914,0.36752,0.383013333,0.37914,2292,6011,8303,0.09168,0.080146667,0.08303,5026,15992,21018,0.20104,0.213226667,0.21018,7318,22003,284,733,0.038808418,0.033313639,19,59,0.002596338,0.002681453,303,792,0.041404755,0.035995092,0.107458261,0.143562609,0.189036094,0.125799884,0.175763547,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,52,TRUE,equal,-0.025799884,-0.075763547,-0.018341623,-0.032200938,0.005104712,-0.058121103,0.000933386,0.004324935,0.19017,0.3652,0.57169,52,59,1234,0.1,0.2,0.1,0.1,100,930189495,6.00516
46711,52,10066,27593,37659,0.40264,0.367906667,0.37659,12434,33807,3822,10617,14439,0.15288,0.14156,0.14439,2418,7582,10000,0.09672,0.101093333,0.1,973,2755,353,1000,6709,22082,5386,14621,20007,0.21544,0.194946667,0.20007,5852,19106,9070,28126,37196,0.3628,0.375013333,0.37196,2367,6421,8788,0.09468,0.085613333,0.08788,4952,15478,20430,0.19808,0.206373333,0.2043,7319,21899,273,816,0.037300178,0.037261975,26,59,0.003552398,0.002694187,299,875,0.040852575,0.039956162,0.095123159,0.124592944,0.168532512,0.09576116,0.132098966,VE Susc.= 0.1,VE Infect.= 0.2,VE Susc.= 0.1 VE Infect.= 0.2,51,TRUE,equal,0.00423884,-0.032098966,-0.000638002,-0.007506022,0.004980523,-0.049538691,0.002853702,0.008461262,0.20007,0.37642,0.57559,51,58,121,0.1,0.2,0.1,0.1,11,262870145,6.00468
